double time_stamp,w_posX,w_posY,w_posZ,w_dirX,w_dirY,w_dirZ,w_upX,w_upY,w_upZ,t_colorR,t_colorG,t_colorB,t_posX,t_posY,t_posZ,t_scale,t_index,intersectionX,intersectionY,intersectionZ,distance_to_target,button_status,t_slot,mode,scale_char
90.908000,0.011591,3.881175,0.011200,-0.042138,-0.077979,-0.996064,-0.035928,0.996423,-0.076487,0.000000,1.000000,0.000000,0.000000,5.280880,-4.755000,0.135266,0,-0.190043,3.508041,-4.755000,1.776987,0,s0,M,L
181.813000,0.010620,3.894651,0.014063,-0.047484,-0.064841,-0.996765,-0.035736,0.997362,-0.063177,0.000000,1.000000,0.000000,0.000000,5.280880,-4.755000,0.135266,0,-0.216570,3.584417,-4.755000,1.705995,0,s0,M,L
272.728000,0.010725,3.894730,0.014260,-0.046757,-0.064409,-0.996828,-0.036593,0.997360,-0.062727,0.000000,1.000000,0.000000,0.000000,5.280880,-4.755000,0.135266,0,-0.212983,3.586569,-4.755000,1.703488,0,s0,M,L
363.611000,0.019987,3.897939,0.018341,-0.042526,-0.047039,-0.997988,-0.032390,0.998431,-0.045680,0.000000,1.000000,0.000000,0.000000,5.280880,-4.755000,0.135266,0,-0.183412,3.672954,-4.755000,1.616200,0,s0,M,L
454.542000,0.028315,3.927101,0.030479,-0.022507,0.026427,-0.999397,-0.005686,0.999631,0.026561,0.000000,1.000000,0.000000,0.000000,5.280880,-4.755000,0.135266,0,-0.079457,4.053643,-4.755000,1.229424,0,s0,M,L
545.427000,0.035178,3.972525,0.036047,0.007702,0.099568,-0.995001,-0.007505,0.995008,0.099510,0.000000,1.000000,0.000000,0.000000,5.280880,-4.755000,0.135266,0,0.072265,4.451956,-4.755000,0.828019,0,s0,M,L
636.354000,0.041575,4.018717,0.047362,0.016565,0.155761,-0.987656,-0.002773,0.987795,0.155736,0.000000,1.000000,0.000000,0.000000,5.280880,-4.755000,0.135266,0,0.122122,4.776085,-4.755000,0.513676,0,s0,M,L
727.272000,0.047606,4.053421,0.057593,0.016920,0.201586,-0.979325,-0.008279,0.979460,0.201470,0.000000,1.000000,0.000000,0.000000,5.280880,-4.755000,0.135266,0,0.130753,5.044053,-4.755000,0.266666,0,s0,M,L
818.181000,0.046140,4.073066,0.066768,0.007597,0.226353,-0.974016,-0.001035,0.974045,0.226351,1.000000,0.000000,0.000000,0.000000,5.280880,-4.755000,0.135266,0,0.083750,5.193603,-4.755000,0.119440,0,s0,M,L
909.075000,0.044501,4.083358,0.073896,-0.000537,0.244474,-0.969656,-0.005686,0.969639,0.244473,1.000000,0.000000,0.000000,0.000000,5.280880,-4.755000,0.135266,0,0.041826,5.300841,-4.755000,0.046090,0,s0,M,L
999.994000,0.043495,4.087201,0.076902,-0.006392,0.239460,-0.970885,-0.003732,0.970892,0.239487,1.000000,0.000000,0.000000,0.000000,5.280880,-4.755000,0.135266,0,0.011681,5.278948,-4.755000,0.011828,0,s0,M,L
1090.908000,0.041114,4.087388,0.079684,-0.006388,0.239461,-0.970885,-0.002546,0.970898,0.239481,1.000000,0.000000,0.000000,0.000000,5.280880,-4.755000,0.135266,0,0.009302,5.279826,-4.755001,0.009356,0,s0,M,L
1181.799000,0.040806,4.087191,0.079948,-0.007411,0.238333,-0.971155,0.000055,0.971182,0.238339,1.000000,0.000000,0.000000,0.000000,5.280880,-4.755000,0.135266,0,0.003909,5.273743,-4.755000,0.007951,1,s0,M,L
1272.736000,0.034539,4.070659,0.078311,-0.017862,0.218474,-0.975679,-0.000251,0.975834,0.218513,0.000000,1.000000,0.000000,-0.291500,2.507443,-4.755000,0.135266,1,-0.053948,5.152933,-4.755000,2.593431,0,s8,M,L
1363.614000,0.029204,4.052866,0.063487,-0.027101,0.206426,-0.978087,-0.002798,0.978426,0.206575,0.000000,1.000000,0.000000,-0.291500,2.507443,-4.755000,0.135266,1,-0.104307,5.069812,-4.755000,2.515222,0,s8,M,L
1454.543000,0.006845,4.016774,0.040541,-0.037152,0.145908,-0.988600,-0.017338,0.989040,0.146624,0.000000,1.000000,0.000000,-0.291500,2.507443,-4.755000,0.135266,1,-0.173374,4.724549,-4.755001,2.197200,0,s8,M,L
1545.458000,0.000437,3.971569,0.025596,-0.039279,0.034741,-0.998624,-0.062343,0.997363,0.037149,0.000000,1.000000,0.000000,-0.291500,2.507443,-4.755000,0.135266,1,-0.187598,4.137879,-4.755000,1.632898,0,s8,M,L
1636.365000,-0.018742,3.888292,0.004806,-0.046359,-0.063069,-0.996932,-0.096475,0.993622,-0.058373,0.000000,1.000000,0.000000,-0.291500,2.507443,-4.755000,0.135266,1,-0.240082,3.587173,-4.755000,1.078653,0,s8,M,L
1727.273000,-0.033224,3.846547,0.000284,-0.053230,-0.141655,-0.988484,-0.128934,0.982576,-0.133865,0.000000,1.000000,0.000000,-0.291500,2.507443,-4.755000,0.135266,1,-0.289297,3.165090,-4.755001,0.651002,0,s8,M,L
1818.176000,-0.046721,3.818332,0.000939,-0.050616,-0.195946,-0.979307,-0.148884,0.971088,-0.186607,0.000000,1.000000,0.000000,-0.291500,2.507443,-4.755000,0.135266,1,-0.292536,2.866732,-4.755000,0.352336,0,s8,M,L
1909.077000,-0.033286,3.798913,0.009386,-0.055895,-0.214713,-0.975076,-0.155343,0.966581,-0.203937,0.000000,1.000000,0.000000,-0.291500,2.507443,-4.755000,0.135266,1,-0.306398,2.749792,-4.755000,0.237346,0,s8,M,L
2000.009000,-0.039129,3.795995,0.020723,-0.050081,-0.229675,-0.971978,-0.162392,0.962121,-0.218978,0.000000,1.000000,0.000000,-0.291500,2.507443,-4.755000,0.135266,1,-0.285198,2.667511,-4.755000,0.155841,0,s8,M,L
2090.889000,-0.029333,3.782924,0.023770,-0.046523,-0.242486,-0.969039,-0.165444,0.958562,-0.231922,1.000000,0.000000,0.000000,-0.291500,2.507443,-4.755000,0.135266,1,-0.258762,2.587113,-4.755000,0.083574,0,s8,M,L
2181.819000,-0.029460,3.775659,0.023851,-0.050168,-0.244643,-0.968314,-0.165499,0.958168,-0.233505,1.000000,0.000000,0.000000,-0.291500,2.507443,-4.755000,0.135266,1,-0.277051,2.568288,-4.755001,0.060558,0,s8,M,L
2272.714000,-0.040716,3.774440,0.028537,-0.052239,-0.246232,-0.967802,-0.165560,0.957850,-0.234763,1.000000,0.000000,0.000000,-0.291500,2.507443,-4.755000,0.135266,1,-0.298918,2.557395,-4.755000,0.049074,0,s8,M,L
2363.647000,-0.049825,3.774565,0.038880,-0.051521,-0.245641,-0.967991,-0.162736,0.958388,-0.234542,1.000000,0.000000,0.000000,-0.291500,2.507443,-4.755000,0.135266,1,-0.304976,2.558055,-4.755000,0.051043,1,s8,M,L
2454.523000,-0.061801,3.769623,0.049355,-0.053556,-0.238945,-0.969555,-0.158324,0.960698,-0.228017,0.000000,1.000000,0.000000,0.570260,5.159667,-4.755000,0.135266,2,-0.327183,2.585597,-4.755000,2.644146,1,s1,M,L
2545.464000,-0.073000,3.781231,0.046778,-0.051860,-0.196740,-0.979083,-0.143407,0.971709,-0.187663,0.000000,1.000000,0.000000,0.570260,5.159667,-4.755000,0.135266,2,-0.327341,2.816344,-4.755000,2.457482,0,s1,M,L
2636.376000,-0.056044,3.826309,0.052685,-0.031482,-0.132524,-0.990680,-0.116556,0.984895,-0.128046,0.000000,1.000000,0.000000,0.570260,5.159667,-4.755000,0.135266,2,-0.208824,3.183180,-4.755000,2.105092,0,s1,M,L
2727.290000,-0.036918,3.874341,0.045683,-0.010622,-0.050391,-0.998673,-0.093794,0.994376,-0.049177,0.000000,1.000000,0.000000,0.570260,5.159667,-4.755000,0.135266,2,-0.087977,3.632107,-4.755000,1.661224,0,s1,M,L
2818.169000,-0.004686,3.932695,0.049797,0.001705,0.032495,-0.999470,-0.077772,0.996449,0.032264,0.000000,1.000000,0.000000,0.570260,5.159667,-4.755000,0.135266,2,0.003512,4.088909,-4.755000,1.210971,0,s1,M,L
2909.099000,0.020985,3.969360,0.043874,0.024553,0.100663,-0.994618,-0.084026,0.991605,0.098283,0.000000,1.000000,0.000000,0.570260,5.159667,-4.755000,0.135266,2,0.139449,4.455042,-4.755000,0.821858,0,s1,M,L
3000.027000,0.037712,4.007420,0.044729,0.044492,0.152903,-0.987239,-0.081958,0.985445,0.148931,0.000000,1.000000,0.000000,0.570260,5.159667,-4.755000,0.135266,2,0.254021,4.750799,-4.755000,0.511190,0,s1,M,L
3090.910000,0.049314,4.032980,0.046822,0.060666,0.183768,-0.981096,-0.082897,0.980438,0.178519,0.000000,1.000000,0.000000,0.570260,5.159667,-4.755000,0.135266,2,0.346233,4.932403,-4.755000,0.314282,0,s1,M,L
3181.829000,0.058118,4.040179,0.052274,0.070426,0.191512,-0.978960,-0.083727,0.979069,0.185510,0.000000,1.000000,0.000000,0.570260,5.159667,-4.755000,0.135266,2,0.403952,4.980614,-4.755000,0.240005,0,s1,M,L
3272.739000,0.059065,4.042522,0.052560,0.072900,0.195272,-0.978036,-0.083950,0.978366,0.189081,0.000000,1.000000,0.000000,0.570260,5.159667,-4.755000,0.135266,2,0.417409,5.002389,-4.755000,0.215287,0,s1,M,L
3363.641000,0.062297,4.047587,0.055575,0.075459,0.205134,-0.975821,-0.082022,0.976572,0.198949,0.000000,1.000000,0.000000,0.570260,5.159667,-4.755000,0.135266,2,0.434292,5.058851,-4.755000,0.166415,0,s1,M,L
3454.544000,0.063315,4.052423,0.059503,0.079100,0.206893,-0.975161,-0.079308,0.976431,0.200730,0.000000,1.000000,0.000000,0.570260,5.159667,-4.755000,0.135266,2,0.453841,5.073884,-4.755000,0.142075,0,s1,M,L
3545.442000,0.067542,4.055731,0.063699,0.086649,0.211413,-0.973548,-0.077682,0.975682,0.204963,1.000000,0.000000,0.000000,0.570260,5.159667,-4.755000,0.135266,2,0.496423,5.102149,-4.755000,0.091738,0,s1,M,L
3636.379000,0.068547,4.058146,0.064424,0.090499,0.220493,-0.971181,-0.077391,0.973791,0.213874,1.000000,0.000000,0.000000,0.570260,5.159667,-4.755000,0.135266,2,0.517641,5.152328,-4.755000,0.052744,0,s1,M,L
3727.264000,0.070011,4.058854,0.065449,0.091748,0.221906,-0.970742,-0.076672,0.973534,0.215298,1.000000,0.000000,0.000000,0.570260,5.159667,-4.755000,0.135266,2,0.525607,5.160781,-4.755000,0.044501,1,s1,M,L
3818.199000,0.073873,4.058064,0.074053,0.089429,0.217402,-0.971977,-0.075632,0.974552,0.211019,0.000000,1.000000,0.000000,-0.824097,2.744570,-4.755000,0.135266,3,0.518181,5.138178,-4.755000,2.668509,1,s9,M,L
3909.093000,0.071064,4.051960,0.077604,0.073417,0.197284,-0.977593,-0.072076,0.978725,0.192100,0.000000,1.000000,0.000000,-0.824097,2.744570,-4.755000,0.135266,3,0.433991,5.027208,-4.755000,2.549255,0,s9,M,L
4000.002000,0.054219,4.032172,0.070343,0.030485,0.163292,-0.986107,-0.068981,0.984557,0.160903,0.000000,1.000000,0.000000,-0.824097,2.744570,-4.755000,0.135266,3,0.203392,4.831215,-4.755000,2.295951,0,s9,M,L
4090.929000,-0.008908,3.983429,0.055145,-0.046682,0.080587,-0.995654,-0.092486,0.992110,0.084637,0.000000,1.000000,0.000000,-0.824097,2.744570,-4.755000,0.135266,3,-0.234437,4.372757,-4.755000,1.728566,0,s9,M,L
4181.802000,-0.036437,3.920134,0.048577,-0.077683,-0.019808,-0.996781,-0.117250,0.993046,-0.010596,0.000000,1.000000,0.000000,-0.824097,2.744570,-4.755000,0.135266,3,-0.410796,3.824678,-4.755000,1.155243,0,s9,M,L
