mode,time_stamp,x,z,dx,dz,distance_traveled,fvec_x,fvec_z,user_speed,hdirX,hdirY,hdirZ,hupX,hupY,hupZ
J,472,-0.166137,-1.644350,-0.166137,-1.644350,1.652721,-0.198597,-0.980081,3.500000,0.850846,-0.185750,0.491486,0.206558,0.978359,0.012171,
J,563,-0.228998,-1.956098,-0.062860,-0.311748,0.318022,-0.229582,-0.973289,3.500000,0.850846,-0.185750,0.491486,0.206558,0.978359,0.012171,
J,654,-0.301672,-2.265947,-0.072674,-0.309849,0.318258,-0.260358,-0.965512,3.500000,0.850951,-0.185764,0.491299,0.206554,0.978359,0.012164,
J,745,-0.383998,-2.573185,-0.082326,-0.307239,0.318077,-0.290855,-0.956767,3.500000,0.853731,-0.186131,0.486312,0.206410,0.978391,0.012111,
J,836,-0.475975,-2.877821,-0.091977,-0.304636,0.318219,-0.321072,-0.947055,3.500000,0.886430,-0.179749,0.426536,0.194574,0.980846,0.008979,
J,927,-0.577418,-3.179252,-0.101443,-0.301431,0.318043,-0.350949,-0.936395,3.500000,0.940578,-0.160374,0.299322,0.164467,0.986314,0.011642,
J,1018,-0.688349,-3.477530,-0.110931,-0.298278,0.318238,-0.380489,-0.924785,3.500000,0.990035,-0.121326,0.071484,0.119774,0.992470,0.025625,
J,1109,-0.808530,-3.772025,-0.120181,-0.294495,0.318073,-0.409633,-0.912251,3.500000,0.984383,-0.073124,-0.160133,0.080070,0.996089,0.037354,
J,1200,-0.937978,-4.062765,-0.129448,-0.290740,0.318255,-0.438377,-0.898791,3.500000,0.892587,-0.013467,-0.450675,0.045429,0.997153,0.060178,
J,1290,-1.077488,-4.348804,-0.139511,-0.286039,0.318248,-0.466680,-0.884427,3.500000,0.720507,0.039810,-0.692305,0.037368,0.994671,0.096086,
J,1381,-1.225854,-4.630194,-0.148365,-0.281390,0.318108,-0.494500,-0.869177,3.500000,0.535440,0.088165,-0.839959,0.050561,0.989407,0.136083,
J,1472,-1.383032,-4.906871,-0.157178,-0.276677,0.318206,-0.521834,-0.853047,3.500000,0.362004,0.128662,-0.923255,0.052549,0.986038,0.158015,
J,1563,-1.548763,-5.178374,-0.165731,-0.271502,0.318088,-0.548631,-0.836064,3.500000,0.237277,0.139905,-0.961315,0.059665,0.985608,0.158168,
J,1654,-1.722954,-5.444561,-0.174191,-0.266188,0.318117,-0.574880,-0.818238,3.500000,0.152656,0.144168,-0.977708,0.059813,0.986141,0.154750,
J,1745,-1.905384,-5.705097,-0.182430,-0.260536,0.318056,-0.600546,-0.799590,3.500000,0.069884,0.143800,-0.987136,0.051324,0.987727,0.147519,
J,1836,-2.095993,-5.959888,-0.190609,-0.254791,0.318199,-0.625617,-0.780130,3.500000,-0.008175,0.126649,-0.991914,0.035578,0.991356,0.126284,
J,1927,-2.294478,-6.208524,-0.198485,-0.248635,0.318144,-0.650054,-0.759888,3.500000,-0.074236,0.091709,-0.993015,0.028130,0.995559,0.089841,
J,2018,-2.500669,-6.450796,-0.206191,-0.242272,0.318136,-0.673836,-0.738882,3.500000,-0.134851,0.031455,-0.990367,0.018656,0.999400,0.029202,
J,2109,-2.714394,-6.686501,-0.213726,-0.235705,0.318175,-0.696939,-0.717130,3.500000,-0.195738,-0.067385,-0.978338,-0.000870,0.997648,-0.068541,
J,2200,-2.935513,-6.915467,-0.221118,-0.228967,0.318307,-0.719352,-0.694646,3.500000,-0.256710,-0.175778,-0.950369,-0.027725,0.984257,-0.174557,
J,2290,-3.164351,-7.136453,-0.228838,-0.220986,0.318122,-0.741026,-0.671476,3.500000,-0.295327,-0.245160,-0.923406,-0.042914,0.968945,-0.243526,
J,2381,-3.400025,-7.350144,-0.235675,-0.213691,0.318130,-0.761955,-0.647630,3.500000,-0.306721,-0.304806,-0.901674,-0.052468,0.951310,-0.303738,
J,2472,-3.642354,-7.556378,-0.242328,-0.206234,0.318206,-0.782122,-0.623126,3.500000,-0.291604,-0.347461,-0.891200,-0.054962,0.936240,-0.347037,
J,2563,-3.890973,-7.754843,-0.248619,-0.198465,0.318119,-0.801497,-0.597999,3.500000,-0.271614,-0.368263,-0.889162,-0.051747,0.928146,-0.368601,
J,2654,-4.145628,-7.945347,-0.254655,-0.190504,0.318027,-0.820061,-0.572277,3.500000,-0.248731,-0.383549,-0.889395,-0.044591,0.921814,-0.385060,
J,2745,-4.406325,-8.127887,-0.260697,-0.182540,0.318251,-0.837812,-0.545959,3.500000,-0.210154,-0.403501,-0.890518,-0.027776,0.912955,-0.407113,
J,2836,-4.672425,-8.302015,-0.266099,-0.174129,0.318009,-0.854706,-0.519112,3.500000,-0.128981,-0.416736,-0.899831,0.005120,0.907118,-0.420844,
J,2927,-4.943962,-8.467763,-0.271537,-0.165748,0.318127,-0.870744,-0.491736,3.500000,0.082955,-0.425409,-0.901191,0.075397,0.904395,-0.419981,
J,3018,-5.220629,-8.624931,-0.276667,-0.157168,0.318192,-0.885910,-0.463858,3.500000,0.440775,-0.436195,-0.784507,0.183277,0.899310,-0.397053,
J,3109,-5.502116,-8.773340,-0.281487,-0.148409,0.318214,-0.900183,-0.435512,3.500000,0.703841,-0.477197,-0.526204,0.312022,0.873158,-0.374483,
J,3200,-5.788184,-8.912859,-0.286068,-0.139519,0.318277,-0.913552,-0.406721,3.500000,0.796295,-0.498003,-0.343377,0.388361,0.856096,-0.340991,
J,3290,-6.078750,-9.042228,-0.290566,-0.129369,0.318065,-0.925992,-0.377542,3.500000,0.857567,-0.497937,-0.128987,0.452281,0.849391,-0.271986,
J,3381,-6.373394,-9.162467,-0.294644,-0.120239,0.318234,-0.937506,-0.347968,3.500000,0.877324,-0.479493,0.019707,0.472650,0.856236,-0.208475,
J,3472,-6.671589,-9.273361,-0.298194,-0.110894,0.318147,-0.948075,-0.318046,3.500000,0.881229,-0.457607,0.118453,0.471978,0.865570,-0.167409,
J,3563,-6.973043,-9.374808,-0.301455,-0.101447,0.318067,-0.957687,-0.287812,3.500000,0.879604,-0.382175,0.283264,0.426148,0.897673,-0.112168,
J,3654,-7.277604,-9.466760,-0.304561,-0.091951,0.318139,-0.966336,-0.257282,3.500000,0.837285,-0.285478,0.466323,0.357936,0.930905,-0.072786,
J,3745,-7.584867,-9.549089,-0.307263,-0.082330,0.318102,-0.974012,-0.226496,3.500000,0.797559,-0.230901,0.557300,0.314706,0.947425,-0.057842,
J,3836,-7.894593,-9.621735,-0.309726,-0.072645,0.318131,-0.980708,-0.195479,3.500000,0.778193,-0.206954,0.592946,0.287540,0.956784,-0.043428,
J,3927,-8.206502,-9.684625,-0.311909,-0.062890,0.318186,-0.986417,-0.164261,3.500000,0.776539,-0.199797,0.597552,0.276294,0.960323,-0.037962,
J,4018,-8.520160,-9.737676,-0.313658,-0.053051,0.318113,-0.991132,-0.132886,3.500000,0.774294,-0.207900,0.597700,0.281390,0.959095,-0.030923,
J,4109,-8.835435,-9.780862,-0.315275,-0.043186,0.318219,-0.994849,-0.101366,3.500000,0.777769,-0.213433,0.591204,0.283864,0.958472,-0.027420,
J,4200,-9.151896,-9.814119,-0.316461,-0.033257,0.318203,-0.997564,-0.069746,3.500000,0.784239,-0.216056,0.581627,0.286469,0.957603,-0.030542,
J,4290,-9.469343,-9.836317,-0.317448,-0.022198,0.318223,-0.999275,-0.038059,3.500000,0.804432,-0.227751,0.548651,0.288937,0.956985,-0.026384,
J,4381,-9.787193,-9.848524,-0.317850,-0.012207,0.318084,-0.999980,-0.006342,3.500000,0.827571,-0.240020,0.507461,0.293346,0.955642,-0.026390,
J,4472,-10.105392,-9.850743,-0.318199,-0.002219,0.318207,-0.999678,0.025396,3.500000,0.846515,-0.248949,0.470570,0.296542,0.954597,-0.028436,
J,4563,-10.423358,-9.842969,-0.317966,0.007774,0.318061,-0.998369,0.057091,3.500000,0.873048,-0.261267,0.411737,0.297925,0.954229,-0.026217,
J,4654,-10.741065,-9.825205,-0.317707,0.017764,0.318203,-0.996055,0.088744,3.500000,0.924859,-0.276060,0.261586,0.296984,0.953899,-0.043331,
J,4745,-11.057956,-9.797478,-0.316891,0.027727,0.318101,-0.992738,0.120300,3.500000,0.952048,-0.299460,-0.062673,0.295010,0.952828,-0.071329,
J,4836,-11.373845,-9.759809,-0.315889,0.037669,0.318127,-0.988421,0.151736,3.500000,0.821663,-0.300482,-0.484336,0.280165,0.952929,-0.115904,
J,4927,-11.688351,-9.712244,-0.314506,0.047565,0.318082,-0.983110,0.183014,3.500000,0.499144,-0.266962,-0.824371,0.244633,0.956073,-0.161490,
J,5018,-12.001302,-9.654806,-0.312951,0.057438,0.318178,-0.976808,0.214117,3.500000,0.169168,-0.222837,-0.960065,0.190302,0.963160,-0.190023,
J,5109,-12.312293,-9.587566,-0.310991,0.067240,0.318177,-0.969522,0.245001,3.500000,0.002485,-0.214839,-0.976646,0.157118,0.964603,-0.211790,
J,5200,-12.621097,-9.510570,-0.308804,0.076997,0.318258,-0.961258,0.275650,3.500000,-0.073235,-0.216575,-0.973515,0.126779,0.966196,-0.224484,
J,5290,-12.926949,-9.422868,-0.305852,0.087702,0.318178,-0.952029,0.306006,3.500000,-0.147713,-0.222083,-0.963774,0.098886,0.966264,-0.237812,
J,5381,-13.229763,-9.325642,-0.302814,0.097226,0.318040,-0.941844,0.336050,3.500000,-0.225491,-0.232295,-0.946146,0.075609,0.964057,-0.254711,
J,5472,-13.529523,-9.218902,-0.299760,0.106740,0.318197,-0.930707,0.365767,3.500000,-0.288559,-0.246259,-0.925251,0.053030,0.960764,-0.272249,
J,5563,-13.825748,-9.102811,-0.296226,0.116091,0.318161,-0.918633,0.395113,3.500000,-0.349531,-0.254975,-0.901563,0.022980,0.959635,-0.280308,
J,5654,-14.118218,-8.977455,-0.292470,0.125356,0.318202,-0.905631,0.424067,3.500000,-0.386814,-0.255613,-0.886023,0.000660,0.960738,-0.277457,
J,5745,-14.406536,-8.843005,-0.288318,0.134450,0.318126,-0.891721,0.452586,3.500000,-0.428547,-0.256976,-0.866205,-0.022204,0.961407,-0.274234,
J,5836,-14.690451,-8.699587,-0.283915,0.143418,0.318082,-0.876915,0.480646,3.500000,-0.471604,-0.256223,-0.843765,-0.042284,0.962326,-0.268592,
J,5927,-14.969754,-8.547304,-0.279304,0.152283,0.318120,-0.861225,0.508224,3.500000,-0.513037,-0.254867,-0.819656,-0.062513,0.963460,-0.260454,
J,6018,-15.244225,-8.386271,-0.274470,0.161034,0.318223,-0.844664,0.535297,3.500000,-0.554085,-0.258646,-0.791260,-0.081591,0.962804,-0.257586,
J,6109,-15.513403,-8.216759,-0.269178,0.169512,0.318106,-0.827255,0.561825,3.500000,-0.604927,-0.271042,-0.748732,-0.109561,0.959674,-0.258885,
J,6200,-15.777271,-8.038771,-0.263868,0.177988,0.318286,-0.809008,0.587799,3.500000,-0.674083,-0.296021,-0.676745,-0.158219,0.952785,-0.259168,
J,6290,-16.034605,-7.851807,-0.257334,0.186964,0.318082,-0.789957,0.613161,3.500000,-0.752793,-0.329938,-0.569600,-0.221597,0.941831,-0.252685,
