mode,time_stamp,x,z,dx,dz,distance_traveled,fvec_x,fvec_z,user_speed,hdirX,hdirY,hdirZ,hupX,hupY,hupZ,angle
J,463,-0.160611,-1.613008,-0.160611,-1.613008,1.620984,-0.195485,-0.980707,3.500000,0.109316,0.255599,-0.960583,-0.030236,0.966782,0.253808,0.196752
J,554,-0.222387,-1.924998,-0.061777,-0.311990,0.318047,-0.226494,-0.974012,3.500000,0.109359,0.254106,-0.960974,-0.027906,0.967176,0.252570,0.228476
J,645,-0.293974,-2.235070,-0.071586,-0.310072,0.318228,-0.257292,-0.966334,3.500000,0.109441,0.251197,-0.961729,-0.028412,0.967936,0.249585,0.260219
J,736,-0.375252,-2.542686,-0.081279,-0.307617,0.318173,-0.287826,-0.957683,3.500000,0.108219,0.241886,-0.964251,-0.028189,0.970304,0.240241,0.291956
J,827,-0.466110,-2.847460,-0.090858,-0.304774,0.318029,-0.318055,-0.948072,3.500000,0.091337,0.203637,-0.974777,-0.024039,0.979034,0.202273,0.323677
J,918,-0.566539,-3.149362,-0.100429,-0.301902,0.318168,-0.347977,-0.937503,3.500000,0.054700,0.144163,-0.988041,-0.013005,0.989542,0.143662,0.355412
J,1009,-0.676399,-3.447953,-0.109860,-0.298591,0.318160,-0.377545,-0.925991,3.500000,0.012072,0.080406,-0.996689,-0.004911,0.996755,0.080351,0.387144
J,1100,-0.795612,-3.743011,-0.119212,-0.295058,0.318230,-0.406741,-0.913543,3.500000,-0.005788,0.046124,-0.998919,-0.008402,0.998898,0.046171,0.418884
J,1190,-0.924999,-4.033620,-0.129388,-0.290609,0.318112,-0.435515,-0.900181,3.500000,-0.031192,0.004680,-0.999502,-0.006209,0.999969,0.004876,0.450611
J,1281,-1.063512,-4.320148,-0.138513,-0.286528,0.318252,-0.463865,-0.885906,3.500000,-0.055260,-0.034178,-0.997887,-0.003772,0.999414,-0.034022,0.482353
J,1372,-1.210930,-4.602127,-0.147418,-0.281979,0.318189,-0.491742,-0.870741,3.500000,-0.074240,-0.051365,-0.995917,-0.004827,0.998680,-0.051147,0.514090
J,1463,-1.367072,-4.879227,-0.156141,-0.277100,0.318064,-0.519115,-0.854704,3.500000,-0.093006,-0.074516,-0.992873,-0.006506,0.997220,-0.074233,0.545815
J,1554,-1.531866,-5.151333,-0.164794,-0.272106,0.318117,-0.545970,-0.837805,3.500000,-0.102017,-0.088933,-0.990799,-0.007535,0.996037,-0.088628,0.577546
J,1645,-1.705139,-5.418150,-0.173274,-0.266818,0.318144,-0.572277,-0.820060,3.500000,-0.134148,-0.112723,-0.984529,-0.010779,0.993617,-0.112294,0.609280
J,1736,-1.886739,-5.679434,-0.181599,-0.261284,0.318194,-0.598013,-0.801486,3.500000,-0.154083,-0.107282,-0.982216,-0.015477,0.994228,-0.106166,0.641020
J,1827,-2.076385,-5.934793,-0.189647,-0.255358,0.318078,-0.623137,-0.782113,3.500000,-0.162934,-0.096232,-0.981933,-0.016285,0.995358,-0.094846,0.672746
J,1918,-2.274036,-6.184162,-0.197650,-0.249370,0.318199,-0.647640,-0.761946,3.500000,-0.165215,-0.090225,-0.982122,-0.015299,0.995921,-0.088919,0.704483
J,2009,-2.479335,-6.427103,-0.205299,-0.242941,0.318069,-0.671483,-0.741020,3.500000,-0.165424,-0.082412,-0.982773,-0.014104,0.996598,-0.081198,0.736208
J,2100,-2.692283,-6.663604,-0.212948,-0.236501,0.318244,-0.694660,-0.719338,3.500000,-0.165645,-0.075054,-0.983325,-0.014065,0.997178,-0.073742,0.767947
J,2190,-2.913352,-6.892528,-0.221069,-0.228924,0.318242,-0.717139,-0.696930,3.500000,-0.166249,-0.076666,-0.983099,-0.014336,0.997056,-0.075330,0.799688
J,2281,-3.141296,-7.114190,-0.227944,-0.221662,0.317950,-0.738876,-0.673841,3.500000,-0.164131,-0.084264,-0.982833,-0.015627,0.996442,-0.082821,0.831401
J,2372,-3.376418,-7.328888,-0.235122,-0.214698,0.318399,-0.759899,-0.650041,3.500000,-0.151968,-0.087965,-0.984463,-0.016699,0.996118,-0.086429,0.863158
J,2463,-3.617920,-7.535876,-0.241502,-0.206988,0.318068,-0.780136,-0.625610,3.500000,-0.143024,-0.087748,-0.985822,-0.016836,0.996134,-0.086223,0.894883
J,2554,-3.865839,-7.735206,-0.247919,-0.199330,0.318113,-0.799591,-0.600545,3.500000,-0.142883,-0.091358,-0.985514,-0.017354,0.995809,-0.089796,0.926613
J,2645,-4.119934,-7.926679,-0.254095,-0.191473,0.318161,-0.818244,-0.574872,3.500000,-0.142813,-0.093107,-0.985361,-0.017605,0.995647,-0.091527,0.958349
J,2736,-4.379827,-8.110014,-0.259893,-0.183335,0.318051,-0.836067,-0.548627,3.500000,-0.142813,-0.093107,-0.985361,-0.017605,0.995647,-0.091527,0.990075
J,2827,-4.645525,-8.285207,-0.265697,-0.175193,0.318257,-0.853060,-0.521813,3.500000,-0.142813,-0.093107,-0.985361,-0.017605,0.995647,-0.091527,1.021821
J,2918,-4.916400,-8.451850,-0.270876,-0.166643,0.318031,-0.869179,-0.494497,3.500000,-0.142813,-0.093107,-0.985361,-0.017605,0.995647,-0.091527,1.053540
J,3009,-5.192529,-8.609991,-0.276129,-0.158141,0.318207,-0.884433,-0.466667,3.500000,-0.142813,-0.093107,-0.985361,-0.017605,0.995647,-0.091527,1.085278
J,3100,-5.473470,-8.759369,-0.280941,-0.149378,0.318185,-0.898795,-0.438370,3.500000,-0.142813,-0.093107,-0.985361,-0.017605,0.995647,-0.091527,1.117012
J,3190,-5.759421,-8.898837,-0.285951,-0.139468,0.318150,-0.912250,-0.409635,3.500000,-0.142813,-0.093107,-0.985361,-0.017605,0.995647,-0.091527,1.148743
J,3281,-6.049814,-9.029344,-0.290392,-0.130507,0.318370,-0.924795,-0.380466,3.500000,-0.142813,-0.093107,-0.985361,-0.017605,0.995647,-0.091527,1.180497
J,3372,-6.343756,-9.150493,-0.293942,-0.121149,0.317930,-0.936392,-0.350955,3.500000,-0.142813,-0.093107,-0.985361,-0.017605,0.995647,-0.091527,1.212205
J,3463,-6.641591,-9.262443,-0.297835,-0.111950,0.318180,-0.947058,-0.321063,3.500000,-0.142813,-0.093107,-0.985361,-0.017605,0.995647,-0.091527,1.243945
J,3554,-6.942706,-9.364951,-0.301115,-0.102509,0.318085,-0.956766,-0.290858,3.500000,-0.142813,-0.093107,-0.985361,-0.017605,0.995647,-0.091527,1.275673
J,3645,-7.247039,-9.457994,-0.304334,-0.093043,0.318239,-0.965516,-0.260345,3.500000,-0.142813,-0.093107,-0.985361,-0.017605,0.995647,-0.091527,1.307416
J,3736,-7.553964,-9.541384,-0.306924,-0.083389,0.318051,-0.973288,-0.229589,3.500000,-0.142813,-0.093107,-0.985361,-0.017605,0.995647,-0.091527,1.339142
J,3827,-7.863412,-9.615107,-0.309449,-0.073723,0.318109,-0.980081,-0.198597,3.500000,-0.142888,-0.091087,-0.985539,-0.017316,0.995834,-0.089528,1.370871
J,3918,-8.175215,-9.679109,-0.311802,-0.064002,0.318303,-0.985891,-0.167385,3.500000,-0.143039,-0.087096,-0.985877,-0.016744,0.996191,-0.085578,1.402620
J,4009,-8.488721,-9.733257,-0.313506,-0.054149,0.318148,-0.990705,-0.136024,3.500000,-0.143076,-0.086155,-0.985955,-0.016609,0.996273,-0.084646,1.434350
J,4100,-8.803819,-9.777538,-0.315098,-0.044281,0.318194,-0.994523,-0.104519,3.500000,-0.143076,-0.086155,-0.985955,-0.016609,0.996273,-0.084646,1.466086
J,4190,-9.120229,-9.810795,-0.316410,-0.033257,0.318153,-0.997338,-0.072913,3.500000,-0.143144,-0.084471,-0.986090,-0.016368,0.996417,-0.082980,1.497818
J,4281,-9.437613,-9.834099,-0.317384,-0.023304,0.318238,-0.999149,-0.041228,3.500000,-0.143224,-0.082463,-0.986249,-0.016080,0.996585,-0.080992,1.529556
J,4372,-9.755320,-9.847411,-0.317707,-0.013312,0.317986,-0.999954,-0.009522,3.500000,-0.143224,-0.082463,-0.986249,-0.016080,0.996585,-0.080992,1.561274
J,4463,-10.073422,-9.850743,-0.318103,-0.003332,0.318120,-0.999753,0.022208,3.500000,-0.143224,-0.082463,-0.986249,-0.016080,0.996585,-0.080992,1.593007
J,4554,-10.391459,-9.844083,-0.318037,0.006660,0.318107,-0.998546,0.053913,3.500000,-0.143224,-0.082463,-0.986249,-0.016080,0.996585,-0.080992,1.624735
J,4645,-10.709208,-9.827433,-0.317748,0.016650,0.318184,-0.996332,0.085571,3.500000,-0.143224,-0.082463,-0.986249,-0.016080,0.996585,-0.080992,1.656472
J,4736,-11.026283,-9.800807,-0.317076,0.026626,0.318192,-0.993114,0.117146,3.500000,-0.143224,-0.082463,-0.986249,-0.016080,0.996585,-0.080992,1.688212
J,4827,-11.342279,-9.764245,-0.315996,0.036562,0.318104,-0.988898,0.148593,3.500000,-0.143224,-0.082463,-0.986249,-0.016080,0.996585,-0.080992,1.719942
J,4918,-11.657026,-9.717767,-0.314747,0.046478,0.318160,-0.983686,0.179893,3.500000,-0.143224,-0.082463,-0.986249,-0.016080,0.996585,-0.080992,1.751675
J,5009,-11.970149,-9.661428,-0.313123,0.056338,0.318151,-0.977483,0.211014,3.500000,-0.143224,-0.082463,-0.986249,-0.016080,0.996585,-0.080992,1.783408
J,5100,-12.281526,-9.595238,-0.311377,0.066191,0.318334,-0.970293,0.241934,3.500000,-0.143224,-0.082463,-0.986249,-0.016080,0.996585,-0.080992,1.815155
J,5190,-12.590236,-9.518269,-0.308710,0.076969,0.318161,-0.962128,0.272599,3.500000,-0.143224,-0.082463,-0.986249,-0.016080,0.996585,-0.080992,1.846890
J,5281,-12.896314,-9.431652,-0.306078,0.086617,0.318098,-0.952997,0.302979,3.500000,-0.143224,-0.082463,-0.986249,-0.016080,0.996585,-0.080992,1.878613
J,5372,-13.199593,-9.335444,-0.303279,0.096208,0.318173,-0.942903,0.333068,3.500000,-0.143224,-0.082463,-0.986249,-0.016080,0.996585,-0.080992,1.910352
J,5463,-13.499673,-9.229766,-0.300080,0.105679,0.318145,-0.931861,0.362816,3.500000,-0.143224,-0.082463,-0.986249,-0.016080,0.996585,-0.080992,1.942084
J,5554,-13.796243,-9.114732,-0.296570,0.115034,0.318098,-0.919882,0.392196,3.500000,-0.143224,-0.082463,-0.986249,-0.016080,0.996585,-0.080992,1.973813
J,5645,-14.089161,-8.990392,-0.292918,0.124340,0.318216,-0.906972,0.421191,3.500000,-0.143224,-0.082463,-0.986249,-0.016080,0.996585,-0.080992,2.005555
J,5736,-14.377816,-8.857014,-0.288655,0.133378,0.317980,-0.893159,0.449741,3.500000,-0.143224,-0.082463,-0.986249,-0.016080,0.996585,-0.080992,2.037272
J,5827,-14.662343,-8.714532,-0.284527,0.142482,0.318208,-0.878436,0.477859,3.500000,-0.143224,-0.082463,-0.986249,-0.016080,0.996585,-0.080992,2.069012
J,5918,-14.942191,-8.563218,-0.279848,0.151314,0.318136,-0.862834,0.505487,3.500000,-0.143224,-0.082463,-0.986249,-0.016080,0.996585,-0.080992,2.100743
J,6009,-15.217222,-8.403143,-0.275031,0.160075,0.318223,-0.846359,0.532612,3.500000,-0.143224,-0.082463,-0.986249,-0.016080,0.996585,-0.080992,2.132480
J,6100,-15.487097,-8.234503,-0.269875,0.168640,0.318232,-0.829029,0.559205,3.500000,-0.143224,-0.082463,-0.986249,-0.016080,0.996585,-0.080992,2.164222
J,6190,-15.750768,-8.056654,-0.263671,0.177849,0.318045,-0.810878,0.585217,3.500000,-0.143224,-0.082463,-0.986249,-0.016080,0.996585,-0.080992,2.195943
J,6281,-16.008884,-7.870493,-0.258117,0.186161,0.318245,-0.791899,0.610653,3.500000,-0.143224,-0.082463,-0.986249,-0.016080,0.996585,-0.080992,2.227682
