mode,time_stamp,x,z,dx,dz,distance_traveled,fvec_x,fvec_z,user_speed,hdirX,hdirY,hdirZ,hupX,hupY,hupZ,angle
N,327,-0.086615,-1.142365,-0.086615,-1.142365,1.145644,-0.148674,-0.988886,3.500000,0.163909,0.308264,-0.937074,0.012798,0.949176,0.314484,0.149227
N,382,-0.113182,-1.331401,-0.026567,-0.189036,0.190893,-0.167476,-0.985876,3.500000,0.165509,0.311266,-0.935799,0.012240,0.948165,0.317544,0.168268
N,409,-0.127476,-1.425091,-0.014294,-0.093690,0.094774,-0.176787,-0.984249,3.500000,0.165298,0.311527,-0.935750,0.012196,0.948083,0.317788,0.177721
N,427,-0.138510,-1.487671,-0.011035,-0.062580,0.063546,-0.183021,-0.983109,3.500000,0.165298,0.311527,-0.935750,0.012196,0.948083,0.317788,0.184058
N,445,-0.149552,-1.550293,-0.011042,-0.062622,0.063588,-0.189252,-0.981929,3.500000,0.165298,0.311527,-0.935750,0.012196,0.948083,0.317788,0.190400
N,463,-0.160602,-1.612956,-0.011049,-0.062663,0.063630,-0.195480,-0.980708,3.500000,0.161006,0.311724,-0.936432,0.012072,0.948118,0.317689,0.196747
N,481,-0.171635,-1.675526,-0.011033,-0.062570,0.063535,-0.201690,-0.979449,3.500000,0.157171,0.311876,-0.937033,0.012040,0.948150,0.317595,0.203083
N,499,-0.182701,-1.738286,-0.011066,-0.062760,0.063728,-0.207911,-0.978148,3.500000,0.152764,0.312035,-0.937709,0.012004,0.948190,0.317478,0.209438
N,518,-0.195925,-1.800502,-0.013224,-0.062216,0.063606,-0.214111,-0.976809,3.500000,0.149656,0.312138,-0.938175,0.011973,0.948220,0.317389,0.215781
N,536,-0.209151,-1.862728,-0.013226,-0.062226,0.063616,-0.220304,-0.975431,3.500000,0.149656,0.312138,-0.938175,0.011973,0.948220,0.317389,0.222126
N,554,-0.222381,-1.924971,-0.013230,-0.062243,0.063634,-0.226491,-0.974013,3.500000,0.143267,0.312349,-0.939102,0.011912,0.948278,0.317218,0.228474
N,572,-0.235613,-1.987221,-0.013232,-0.062250,0.063641,-0.232669,-0.972556,3.500000,0.138952,0.313419,-0.939394,0.011741,0.948008,0.318030,0.234821
N,590,-0.248833,-2.049416,-0.013220,-0.062195,0.063585,-0.238832,-0.971061,3.500000,0.136722,0.314388,-0.939397,0.011599,0.947729,0.318864,0.241163
N,609,-0.263154,-2.111461,-0.014321,-0.062045,0.063676,-0.244994,-0.969525,3.500000,0.135078,0.315162,-0.939376,0.011488,0.947503,0.319541,0.247514
N,627,-0.278539,-2.173167,-0.015385,-0.061706,0.063595,-0.251138,-0.967951,3.500000,0.131830,0.316836,-0.939274,0.011257,0.947004,0.321024,0.253856
N,645,-0.293955,-2.234995,-0.015416,-0.061828,0.063721,-0.257285,-0.966336,3.500000,0.129187,0.318282,-0.939153,0.011065,0.946567,0.322317,0.260211
N,663,-0.309360,-2.296782,-0.015405,-0.061788,0.063679,-0.263417,-0.964682,3.500000,0.126884,0.319714,-0.938980,0.010876,0.946126,0.323616,0.266563
N,681,-0.324748,-2.358499,-0.015388,-0.061716,0.063606,-0.269532,-0.962991,3.500000,0.125545,0.320543,-0.938877,0.010765,0.945869,0.324370,0.272907
N,699,-0.340141,-2.420235,-0.015393,-0.061737,0.063627,-0.275636,-0.961262,3.500000,0.124639,0.321146,-0.938792,0.010694,0.945681,0.324922,0.279251
N,718,-0.357666,-2.481357,-0.017526,-0.061121,0.063584,-0.281726,-0.959495,3.500000,0.122648,0.322142,-0.938713,0.010581,0.945376,0.325810,0.285592
N,736,-0.375222,-2.542579,-0.017555,-0.061222,0.063689,-0.287815,-0.957686,3.500000,0.120924,0.322218,-0.938911,0.010589,0.945379,0.325801,0.291944
N,754,-0.392759,-2.603741,-0.017538,-0.061162,0.063627,-0.293887,-0.955840,3.500000,0.120150,0.322251,-0.938999,0.010593,0.945381,0.325797,0.298291
N,772,-0.410302,-2.664919,-0.017543,-0.061178,0.063644,-0.299948,-0.953955,3.500000,0.119619,0.322274,-0.939059,0.010596,0.945382,0.325793,0.304638
N,790,-0.427855,-2.726135,-0.017553,-0.061215,0.063682,-0.306001,-0.952031,3.500000,0.118789,0.322309,-0.939152,0.010603,0.945384,0.325788,0.310989
N,809,-0.446422,-2.786868,-0.018567,-0.060734,0.063508,-0.312025,-0.950074,3.500000,0.118788,0.321506,-0.939427,0.010704,0.945656,0.324991,0.317323
N,827,-0.466114,-2.847474,-0.019692,-0.060606,0.063724,-0.318056,-0.948072,3.500000,0.118022,0.319566,-0.940185,0.010938,0.946327,0.323027,0.323679
N,845,-0.485761,-2.907939,-0.019647,-0.060466,0.063578,-0.324062,-0.946036,3.500000,0.117411,0.317968,-0.940803,0.011115,0.946876,0.321407,0.330020
N,863,-0.505416,-2.968432,-0.019655,-0.060493,0.063606,-0.330057,-0.943961,3.500000,0.117411,0.317968,-0.940803,0.011115,0.946876,0.321407,0.336364
N,881,-0.525092,-3.028988,-0.019676,-0.060556,0.063672,-0.336045,-0.941846,3.500000,0.115860,0.312395,-0.942861,0.011663,0.948760,0.315782,0.342715
N,900,-0.544784,-3.089590,-0.019692,-0.060602,0.063721,-0.342023,-0.939691,3.500000,0.114526,0.307191,-0.944731,0.012147,0.950485,0.310534,0.349069
N,918,-0.566548,-3.149385,-0.021764,-0.059796,0.063633,-0.347979,-0.937502,3.500000,0.113594,0.304017,-0.945870,0.012439,0.951523,0.307327,0.355415
N,936,-0.588280,-3.209096,-0.021733,-0.059711,0.063543,-0.353913,-0.935278,3.500000,0.111239,0.297904,-0.948092,0.012978,0.953496,0.301125,0.361752
