double time_stamp,w_posX,w_posY,w_posZ,w_dirX,w_dirY,w_dirZ,w_upX,w_upY,w_upZ,t_colorR,t_colorG,t_colorB,t_posX,t_posY,t_posZ,t_scale,t_index,intersectionX,intersectionY,intersectionZ,distance_to_target,button_status,t_slot,mode,scale_char
90.912000,-0.004374,3.629026,-0.106113,0.054335,0.164032,-0.984958,0.005519,0.986351,0.164568,0.000000,1.000000,0.000000,0.000000,5.017982,-4.755000,0.135266,0,0.252082,4.403236,-4.755000,0.658684,0,s0,J,L
181.806000,-0.004265,3.630768,-0.105475,0.054884,0.173868,-0.983238,0.005771,0.984651,0.174440,0.000000,1.000000,0.000000,0.000000,5.017982,-4.755000,0.135266,0,0.255272,4.452955,-4.755000,0.614267,0,s0,J,L
272.700000,-0.003894,3.631193,-0.105314,0.055712,0.176266,-0.982765,0.003353,0.984255,0.176724,0.000000,1.000000,0.000000,0.000000,5.017982,-4.755000,0.135266,0,0.259691,4.465150,-4.755001,0.605125,0,s0,J,L
363.616000,-0.003507,3.629713,-0.105833,0.058880,0.167892,-0.984045,-0.002503,0.985778,0.168038,0.000000,1.000000,0.000000,0.000000,5.017982,-4.755000,0.135266,0,0.274676,4.422925,-4.755000,0.650021,0,s0,J,L
454.538000,-0.008051,3.628623,-0.108520,0.056720,0.175514,-0.982842,-0.012045,0.984475,0.175110,0.000000,1.000000,0.000000,0.000000,5.017982,-4.755000,0.135266,0,0.260100,4.458380,-4.755000,0.611424,0,s0,J,L
545.453000,-0.010791,3.640742,-0.105944,0.064807,0.210909,-0.975355,0.009406,0.977237,0.211941,0.000000,1.000000,0.000000,0.000000,5.017982,-4.755000,0.135266,0,0.298112,4.646046,-4.755000,0.472981,0,s0,J,L
636.369000,-0.022131,3.656456,-0.104674,0.046416,0.230751,-0.971905,0.009389,0.972810,0.231414,0.000000,1.000000,0.000000,0.000000,5.017982,-4.755000,0.135266,0,0.199959,4.760540,-4.755000,0.322098,0,s0,J,L
727.252000,-0.033767,3.665845,-0.103393,0.033980,0.248433,-0.968053,0.014377,0.968390,0.249025,0.000000,1.000000,0.000000,0.000000,5.017982,-4.755000,0.135266,0,0.129508,4.859597,-4.755000,0.201586,0,s0,J,L
818.181000,-0.042722,3.677812,-0.093445,0.020984,0.265109,-0.963990,0.019080,0.963920,0.265506,1.000000,0.000000,0.000000,0.000000,5.017982,-4.755000,0.135266,0,0.058751,4.959798,-4.755000,0.081459,0,s0,J,L
909.091000,-0.050114,3.680406,-0.088242,0.009944,0.268393,-0.963258,0.015042,0.963156,0.268520,1.000000,0.000000,0.000000,0.000000,5.017982,-4.755000,0.135266,0,-0.001937,4.980707,-4.755000,0.035953,0,s0,J,L
999.971000,-0.053064,3.682374,-0.083500,0.008574,0.271426,-0.962421,0.022219,0.962167,0.271553,1.000000,0.000000,0.000000,0.000000,5.017982,-4.755000,0.135266,0,-0.011447,4.999853,-4.755000,0.020844,0,s0,J,L
