time_stamp,trial_index,slot,mode,size_index,targetRadius,targetX,targetY,userX,userY,distance_from_center,elaspedTime,is_hit
1072,0,s0,N,2,L,0.000000,4.735434,-0.030339,4.761000,0.039232,1072,1
2781,1,s8,N,2,L,-0.291500,1.961997,-0.352719,1.959849,0.061147,1709,1
3709,2,s1,N,2,L,0.570260,4.614222,0.540593,4.642339,0.040816,927,1
4799,3,s9,N,2,L,-0.824097,2.199125,-0.728361,2.216047,0.096145,1090,1
5836,4,s2,N,2,L,1.041917,4.271543,1.051557,4.242681,0.030398,1036,1
6618,5,s10,N,2,L,-1.214200,2.632378,-1.322638,2.577760,0.116935,781,1
7563,6,s3,N,2,L,1.333417,3.766650,1.399170,3.810750,0.077006,945,1
8709,7,s11,N,2,L,-1.394357,3.186844,-1.394455,3.235086,0.048136,1145,1
9527,8,s4,N,2,L,1.394357,3.186844,1.467484,3.068213,0.136122,818,0
10599,8,s4,N,2,L,1.394357,3.186844,1.387257,3.181601,0.008715,1890,1
11636,9,s12,N,2,L,-1.333417,3.766650,-1.256439,3.760723,0.075463,1036,1
12527,10,s5,N,2,L,1.214200,2.632378,1.309550,2.670811,0.101509,890,1
13745,11,s13,N,2,L,-1.041917,4.271543,-1.050722,4.269235,0.009017,1218,1
14654,12,s6,N,2,L,0.824097,2.199125,0.799023,2.269250,0.071881,909,1
15581,13,s14,N,2,L,-0.570260,4.614222,-0.580587,4.657209,0.043393,927,1
16618,14,s7,N,2,L,0.291500,1.961997,0.217176,2.020359,0.092567,1036,1
17690,15,s0,N,2,L,0.000000,4.735434,-0.044405,4.737271,0.044443,1072,1
18618,16,s8,N,2,L,-0.291500,1.961997,-0.302090,1.923208,0.038508,927,1
19509,17,s1,N,2,L,0.570260,4.614222,0.568382,4.829509,0.211644,890,0
19854,17,s1,N,2,L,0.570260,4.614222,0.532597,4.518575,0.101287,1236,1
20836,18,s9,N,2,L,-0.824097,2.199125,-0.886960,2.160758,0.071434,981,1
22127,19,s2,N,2,L,1.041917,4.271543,1.024082,4.282949,0.021033,1290,1
23345,20,s10,N,2,L,-1.214200,2.632378,-1.199344,2.662542,0.032571,1218,1
24345,21,s3,N,2,L,1.333417,3.766650,1.315449,3.731745,0.038978,999,1
25363,22,s11,N,2,L,-1.394357,3.186844,-1.471545,3.161479,0.078709,1018,1
26363,23,s4,N,2,L,1.394357,3.186844,1.340681,3.172513,0.054155,1000,1
