mode,time_stamp,x,z,dx,dz,distance_traveled,fvec_x,fvec_z,user_speed,hdirX,hdirY,hdirZ,hupX,hupY,hupZ,angle
M,500,-0.182743,-1.738485,-0.182743,-1.738485,1.748063,-0.207930,-0.978144,3.500000,-0.016526,0.374376,-0.927130,-0.096385,0.922342,0.374160,0.209459
M,590,-0.248876,-2.049618,-0.066133,-0.311133,0.318084,-0.238852,-0.971056,3.500000,-0.030573,0.371820,-0.927801,-0.095281,0.922924,0.373006,0.241184
M,681,-0.324772,-2.358597,-0.075897,-0.308980,0.318164,-0.269541,-0.962989,3.500000,-0.044581,0.362690,-0.930843,-0.089175,0.926605,0.365310,0.272917
M,772,-0.410343,-2.665064,-0.085571,-0.306466,0.318189,-0.299963,-0.953951,3.500000,-0.065818,0.340258,-0.938026,-0.085935,0.934639,0.345059,0.304653
M,863,-0.505484,-2.968642,-0.095141,-0.303578,0.318137,-0.330078,-0.943954,3.500000,-0.121708,0.265770,-0.956323,-0.081492,0.957557,0.276484,0.336386
M,954,-0.610090,-3.269017,-0.104606,-0.300375,0.318069,-0.359854,-0.933009,3.500000,-0.189541,0.158688,-0.968965,-0.069513,0.982208,0.174454,0.368112
M,1045,-0.724124,-3.566077,-0.114034,-0.297060,0.318196,-0.389281,-0.921119,3.500000,-0.260024,-0.013533,-0.965507,-0.066980,0.997746,0.004054,0.399851
M,1136,-0.847386,-3.859298,-0.123262,-0.293221,0.318076,-0.418305,-0.908307,3.500000,-0.305325,-0.210120,-0.928777,-0.077302,0.977602,-0.195754,0.431579
M,1227,-0.979902,-4.148723,-0.132516,-0.289424,0.318319,-0.446929,-0.894569,3.500000,-0.338550,-0.328750,-0.881651,-0.082322,0.943736,-0.320289,0.463330
M,1318,-1.121312,-4.433579,-0.141409,-0.284856,0.318025,-0.475076,-0.879945,3.500000,-0.348818,-0.372276,-0.860079,-0.095640,0.927070,-0.362484,0.495051
M,1409,-1.271670,-4.713987,-0.150359,-0.280408,0.318177,-0.502756,-0.864428,3.500000,-0.329329,-0.391289,-0.859323,-0.103484,0.919567,-0.379061,0.526785
M,1500,-1.430728,-4.989479,-0.159058,-0.275492,0.318112,-0.529925,-0.848044,3.500000,-0.308278,-0.400990,-0.862654,-0.107228,0.915687,-0.387323,0.558512
M,1590,-1.599372,-5.259366,-0.168644,-0.269886,0.318245,-0.556569,-0.830801,3.500000,-0.308278,-0.400990,-0.862654,-0.107228,0.915687,-0.387323,0.590251
M,1681,-1.776388,-5.523781,-0.177016,-0.264416,0.318199,-0.582652,-0.812722,3.500000,-0.296606,-0.402475,-0.866048,-0.107638,0.915166,-0.388438,0.621988
M,1772,-1.961633,-5.782517,-0.185244,-0.258736,0.318213,-0.608151,-0.793822,3.500000,-0.298522,-0.391774,-0.870286,-0.106608,0.919846,-0.377516,0.653729
M,1863,-2.154795,-6.035152,-0.193163,-0.252635,0.318019,-0.633020,-0.774135,3.500000,-0.306187,-0.377985,-0.873714,-0.114165,0.925751,-0.360489,0.685449
M,1954,-2.355866,-6.281684,-0.201071,-0.246532,0.318132,-0.657263,-0.753662,3.500000,-0.316417,-0.365457,-0.875398,-0.129173,0.930815,-0.341902,0.717181
M,2045,-2.564625,-6.521826,-0.208758,-0.240142,0.318196,-0.680848,-0.732424,3.500000,-0.328697,-0.350776,-0.876878,-0.143483,0.936237,-0.320737,0.748920
