time_stamp,trial_index,slot,mode,size_index,targetRadius,targetX,targetY,userX,userY,distance_from_center,elaspedTime,is_hit
1727,0,s0,J,2,L,0.000000,5.129074,0.007441,5.138737,0.011937,1727,1
3090,1,s8,J,2,L,-0.291500,2.355637,-0.288745,2.434727,0.077232,1363,1
4454,2,s1,J,2,L,0.570260,5.007861,0.567711,4.972260,0.034927,1363,1
5909,3,s9,J,2,L,-0.824097,2.592764,-0.822771,2.626092,0.032753,1454,1
7181,4,s2,J,2,L,1.041917,4.665182,1.047798,4.662252,0.006533,1272,1
8545,5,s10,J,2,L,-1.214200,3.026017,-1.192731,3.127338,0.102443,1363,1
9818,6,s3,J,2,L,1.333417,4.160289,1.326957,4.136148,0.024803,1272,1
11181,7,s11,J,2,L,-1.394357,3.580483,-1.417638,3.655178,0.078161,1363,1
12454,8,s4,J,2,L,1.394357,3.580483,1.382602,3.617297,0.038442,1272,1
13727,9,s12,J,2,L,-1.333417,4.160289,-1.417955,4.159893,0.082538,1272,1
15090,10,s5,J,2,L,1.214200,3.026017,1.202111,3.028155,0.011934,1363,1
16363,11,s13,J,2,L,-1.041917,4.665182,-1.075562,4.706138,0.051649,1272,1
17727,12,s6,J,2,L,0.824097,2.592764,0.757191,2.628552,0.074049,1363,1
18999,13,s14,J,2,L,-0.570260,5.007861,-0.543340,4.991465,0.031062,1272,1
20545,14,s7,J,2,L,0.291500,2.355637,0.256824,2.241396,0.116724,1545,1
21909,15,s0,J,2,L,0.000000,5.129074,-0.074684,5.098482,0.080357,1363,1
23090,16,s8,J,2,L,-0.291500,2.355637,-0.256795,2.447725,0.096557,1181,1
24272,17,s1,J,2,L,0.570260,5.007861,0.571374,5.108139,0.097758,1181,1
25636,18,s9,J,2,L,-0.824097,2.592764,-0.785200,2.661383,0.077146,1363,1
26818,19,s2,J,2,L,1.041917,4.665182,0.959760,4.668274,0.080986,1181,1
28181,20,s10,J,2,L,-1.214200,3.026017,-1.205817,3.087573,0.061607,1363,1
29363,21,s3,J,2,L,1.333417,4.160289,1.367614,4.151278,0.034510,1181,1
30727,22,s11,J,2,L,-1.394357,3.580483,-1.338546,3.657521,0.094357,1363,1
31999,23,s4,J,2,L,1.394357,3.580483,1.369417,3.620197,0.046398,1272,1
33363,24,s12,J,2,L,-1.333417,4.160289,-1.350193,4.143399,0.023677,1363,1
34818,25,s5,J,2,L,1.214200,3.026017,1.170691,3.016037,0.043909,1454,1
36090,26,s13,J,2,L,-1.041917,4.665182,-1.089744,4.695137,0.054937,1272,1
37454,27,s6,J,2,L,0.824097,2.592764,0.774611,2.557696,0.060644,1363,1
38636,28,s14,J,2,L,-0.570260,5.007861,-0.633845,5.038383,0.069460,1181,1
39909,29,s7,J,2,L,0.291500,2.355637,0.297029,2.376701,0.021404,1272,1
41090,30,s0,J,2,L,0.000000,5.129074,-0.043722,5.125793,0.043815,1181,1
