time_stamp,trial_index,slot,mode,size_index,targetRadius,targetX,targetY,userX,userY,distance_from_center,elaspedTime,is_hit
1218,0,s0,N,2,L,0.000000,5.027620,0.046169,5.018228,0.047086,1218,1
2218,1,s8,N,2,L,-0.291500,2.254183,-0.304888,2.261145,0.015053,999,1
3436,2,s1,N,2,L,0.570260,4.906407,0.595722,4.839137,0.070782,1218,1
4436,3,s9,N,2,L,-0.824097,2.491311,-0.830937,2.519441,0.028649,1000,1
5327,4,s2,N,2,L,1.041917,4.563729,1.008562,4.642380,0.084925,890,1
6454,5,s10,N,2,L,-1.214200,2.924564,-1.219982,2.959321,0.035140,1127,1
7381,6,s3,N,2,L,1.333417,4.058836,1.276895,4.118771,0.082051,927,1
8309,7,s11,N,2,L,-1.394357,3.479030,-1.401690,3.507603,0.029447,927,1
9200,8,s4,N,2,L,1.394357,3.479030,1.347190,3.452682,0.052761,890,1
10018,9,s12,N,2,L,-1.333417,4.058836,-1.353936,4.074245,0.024847,818,1
11000,10,s5,N,2,L,1.214200,2.924564,1.253294,2.963289,0.054726,981,1
11854,11,s13,N,2,L,-1.041917,4.563729,-1.071671,4.590522,0.038699,854,1
12709,12,s6,N,2,L,0.824097,2.491311,0.623678,2.254222,0.308756,854,0
13145,12,s6,N,2,L,0.824097,2.491311,0.847620,2.481100,0.024929,1290,1
14127,13,s14,N,2,L,-0.570260,4.906407,-0.549714,4.870994,0.039616,981,1
15109,14,s7,N,2,L,0.291500,2.254183,0.271172,2.256464,0.020367,981,1
15927,15,s0,N,2,L,0.000000,5.027620,-0.025218,5.042805,0.029189,818,1
16818,16,s8,N,2,L,-0.291500,2.254183,-0.280053,2.108854,0.140898,890,0
17200,16,s8,N,2,L,-0.291500,2.254183,-0.268039,2.308761,0.057953,1272,1
18054,17,s1,N,2,L,0.570260,4.906407,0.494997,4.942580,0.083500,854,1
18999,18,s9,N,2,L,-0.824097,2.491311,-0.723783,2.623233,0.161532,945,0
19527,18,s9,N,2,L,-0.824097,2.491311,-0.875153,2.491103,0.050491,1472,1
20454,19,s2,N,2,L,1.041917,4.563729,1.066688,4.604284,0.045700,927,1
21563,20,s10,N,2,L,-1.214200,2.924564,-1.278013,2.989877,0.091048,1109,1
22618,21,s3,N,2,L,1.333417,4.058836,1.368587,4.036808,0.040805,1054,1
23599,22,s11,N,2,L,-1.394357,3.479030,-1.337761,3.484922,0.055424,981,1
24763,23,s4,N,2,L,1.394357,3.479030,1.402790,3.444945,0.034993,1163,1
25709,24,s12,N,2,L,-1.333417,4.058836,-1.416102,4.061698,0.080181,945,1
26545,25,s5,N,2,L,1.214200,2.924564,1.168894,3.022846,0.106315,836,1
27454,26,s13,N,2,L,-1.041917,4.563729,-1.117102,4.582242,0.075571,909,1
28436,27,s6,N,2,L,0.824097,2.491311,0.916800,2.540576,0.104635,981,1
29272,28,s14,N,2,L,-0.570260,4.906407,-0.601414,4.900753,0.031632,836,1
