mode,path_radius,time_stamp,x,z,dx,dz,distance_traveled,fvec_x,fvec_z,is_stopped,colliding,distance_from_line,distance_outside,user_speed,hdirX,hdirY,hdirZ,hupX,hupY,hupZ
J,L,418,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,0.086654,-0.565688,-0.820054,-0.004189,0.822936,-0.568118,
J,L,509,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,0.081803,-0.568693,-0.818472,-0.003832,0.821039,-0.570859,
J,L,600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,0.081000,-0.585069,-0.806928,-0.006410,0.809266,-0.587408,
J,L,690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,0.069621,-0.632534,-0.771397,-0.017274,0.772394,-0.634909,
J,L,781,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,0.047851,-0.704882,-0.707709,-0.025862,0.707409,-0.706331,
J,L,872,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,0.027132,-0.766538,-0.641626,-0.033290,0.640814,-0.766974,
J,L,963,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,0.016841,-0.799849,-0.599965,-0.046246,0.598785,-0.799574,
J,L,1054,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,0.016841,-0.799849,-0.599965,-0.046246,0.598785,-0.799574,
J,L,1145,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,0.011893,-0.807001,-0.590431,-0.063430,0.588674,-0.805878,
J,L,1236,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,0.008586,-0.807277,-0.590110,-0.073375,0.588032,-0.805502,
