double time_stamp,w_posX,w_posY,w_posZ,w_dirX,w_dirY,w_dirZ,w_upX,w_upY,w_upZ,t_colorR,t_colorG,t_colorB,t_posX,t_posY,t_posZ,t_scale,t_index,intersectionX,intersectionY,intersectionZ,distance_to_target,button_status,t_slot,mode,scale_char
90.924000,0.035133,3.462144,0.079341,-0.016476,0.281641,-0.959378,0.057061,0.958210,0.280318,1.000000,0.000000,0.000000,0.000000,4.828535,-4.755000,0.135266,0,-0.047892,4.881346,-4.755000,0.069551,0,s0,J,L
181.833000,0.035785,3.463164,0.080940,-0.013277,0.287549,-0.957674,0.057415,0.956397,0.286370,1.000000,0.000000,0.000000,0.000000,4.828535,-4.755000,0.135266,0,-0.031262,4.915194,-4.755000,0.088574,0,s0,J,L
272.720000,0.037035,3.463673,0.083056,-0.009926,0.291809,-0.956425,0.076845,0.953866,0.290231,1.000000,0.000000,0.000000,0.000000,4.828535,-4.755000,0.135266,0,-0.013174,4.939781,-4.755000,0.107178,0,s0,J,L
363.656000,0.038670,3.459406,0.082512,-0.009102,0.285892,-0.958219,0.098960,0.953812,0.283638,1.000000,0.000000,0.000000,0.000000,4.828535,-4.755000,0.135266,0,-0.007279,4.902717,-4.755000,0.071438,0,s0,J,L
454.547000,0.040125,3.459559,0.090624,-0.002908,0.296739,-0.954954,0.104480,0.949822,0.294826,1.000000,0.000000,0.000000,0.000000,4.828535,-4.755000,0.135266,0,0.025368,4.965270,-4.755000,0.133040,0,s0,J,L
545.458000,0.041788,3.459841,0.093625,-0.001157,0.298283,-0.954477,0.099093,0.949814,0.296706,0.000000,1.000000,0.000000,0.000000,4.828535,-4.755000,0.135266,0,0.035910,4.975080,-4.755000,0.144424,0,s0,J,L
636.376000,0.042622,3.459826,0.094632,0.000074,0.298172,-0.954512,0.097038,0.950006,0.296771,0.000000,1.000000,0.000000,0.000000,4.828535,-4.755000,0.135266,0,0.043000,4.974760,-4.755001,0.146046,0,s0,J,L
727.288000,0.050718,3.459511,0.101868,0.005423,0.296377,-0.955056,0.097407,0.950371,0.295477,0.000000,1.000000,0.000000,0.000000,4.828535,-4.755000,0.135266,0,0.078296,4.966717,-4.755001,0.153338,1,s0,J,L
818.196000,0.052927,3.459112,0.103213,0.005595,0.294064,-0.955769,0.096976,0.951120,0.293201,0.000000,1.000000,0.000000,0.000000,4.828535,-4.755000,0.135266,0,0.081367,4.953851,-4.755000,0.144682,0,s0,J,L
909.087000,0.056828,3.456721,0.103092,0.006823,0.292664,-0.956191,0.098589,0.951358,0.291888,0.000000,1.000000,0.000000,0.000000,4.828535,-4.755000,0.135266,0,0.091493,4.943648,-4.755001,0.142985,0,s0,J,L
999.989000,0.056913,3.454723,0.102906,0.004518,0.290649,-0.956819,0.097307,0.952160,0.289693,1.000000,0.000000,0.000000,0.000000,4.828535,-4.755000,0.135266,0,0.079850,4.930388,-4.755000,0.125906,0,s0,J,L
1090.918000,0.056916,3.450969,0.101113,0.004276,0.287683,-0.957716,0.098751,0.952922,0.286684,1.000000,0.000000,0.000000,0.000000,4.828535,-4.755000,0.135266,0,0.078596,4.909668,-4.755001,0.110451,0,s0,J,L
1181.843000,0.056160,3.449821,0.100941,0.000190,0.285880,-0.958265,0.098449,0.953605,0.284509,1.000000,0.000000,0.000000,0.000000,4.828535,-4.755000,0.135266,0,0.057125,4.898498,-4.755000,0.088077,0,s0,J,L
1272.707000,0.056734,3.449002,0.100880,0.002978,0.285086,-0.958497,0.100442,0.953569,0.283933,1.000000,0.000000,0.000000,0.000000,4.828535,-4.755000,0.135266,0,0.071820,4.893290,-4.755000,0.094882,0,s0,J,L
1363.675000,0.056682,3.448313,0.100881,0.002979,0.285083,-0.958498,0.098847,0.953724,0.283970,1.000000,0.000000,0.000000,0.000000,4.828535,-4.755000,0.135266,0,0.071774,4.892579,-4.755000,0.094404,0,s0,J,L
1454.558000,0.055428,3.447638,0.100726,-0.003885,0.283537,-0.958953,0.098844,0.954373,0.281782,1.000000,0.000000,0.000000,0.000000,4.828535,-4.755000,0.135266,0,0.035754,4.883347,-4.755000,0.063604,1,s0,J,L
1545.456000,0.054882,3.447670,0.100735,-0.006563,0.283676,-0.958898,0.097119,0.954566,0.281730,0.000000,1.000000,0.000000,-0.291500,2.055098,-4.755000,0.135266,1,0.021649,4.884171,-4.755000,2.731472,0,s8,J,L
1636.358000,0.054222,3.447441,0.099925,-0.006550,0.282375,-0.959282,0.098048,0.954861,0.280405,0.000000,1.000000,0.000000,-0.291500,2.055098,-4.755000,0.135266,1,0.021070,4.876542,-4.755001,2.725209,0,s8,J,L
1727.290000,0.054004,3.447306,0.095374,-0.001609,0.281614,-0.959526,0.097917,0.954961,0.280110,0.000000,1.000000,0.000000,-0.291500,2.055098,-4.755000,0.135266,1,0.045871,4.870856,-4.755000,2.722939,0,s8,J,L
1818.190000,0.052483,3.446940,0.092744,0.002266,0.279480,-0.960149,0.095577,0.955695,0.278409,0.000000,1.000000,0.000000,-0.291500,2.055098,-4.755000,0.135266,1,0.063924,4.858021,-4.755000,2.714367,0,s8,J,L
1909.080000,0.032880,3.428828,0.082476,-0.004706,0.239327,-0.970928,0.110416,0.965126,0.237362,0.000000,1.000000,0.000000,-0.291500,2.055098,-4.755000,0.135266,1,0.009434,4.621233,-4.755000,2.510015,0,s8,J,L
1999.989000,0.009938,3.363029,0.068839,-0.033760,0.150299,-0.988064,0.106308,0.983559,0.145981,0.000000,1.000000,0.000000,-0.291500,2.055098,-4.755000,0.135266,1,-0.154882,4.096805,-4.755000,2.023826,0,s8,J,L
