double time_stamp,w_posX,w_posY,w_posZ,w_dirX,w_dirY,w_dirZ,w_upX,w_upY,w_upZ,t_colorR,t_colorG,t_colorB,t_posX,t_posY,t_posZ,t_scale,t_index,intersectionX,intersectionY,intersectionZ,distance_to_target,button_status
90.919000,0.110976,3.719387,-0.099497,-0.011244,0.199006,-0.979934,0.003514,0.979997,0.198979,0.000000,1.000000,0.000000,0.000000,5.113737,-4.755000,0.135266,0,0.057559,4.664834,-4.755000,0.443543,0
181.822000,0.110971,3.719074,-0.099169,-0.011232,0.202078,-0.979305,0.003285,0.979369,0.202054,0.000000,1.000000,0.000000,0.000000,5.113737,-4.755000,0.135266,0,0.057570,4.679798,-4.755000,0.428735,0
272.710000,0.103095,3.718083,-0.098520,-0.012325,0.211169,-0.977372,0.009364,0.977427,0.211063,0.000000,1.000000,0.000000,0.000000,5.113737,-4.755000,0.135266,0,0.044374,4.724154,-4.755000,0.383256,0
363.630000,0.099056,3.720220,-0.097074,-0.011621,0.230682,-0.972960,0.010109,0.973003,0.230571,0.000000,1.000000,0.000000,0.000000,5.113737,-4.755000,0.135266,0,0.043421,4.824581,-4.755000,0.284568,0
454.551000,0.094260,3.725245,-0.101712,-0.029743,0.259481,-0.965290,0.012053,0.965740,0.259230,0.000000,1.000000,0.000000,0.000000,5.113737,-4.755000,0.135266,0,-0.049117,4.976100,-4.755000,0.142067,0
545.426000,0.083062,3.747240,-0.092423,-0.035968,0.286267,-0.957475,0.014145,0.958144,0.285936,1.000000,0.000000,0.000000,0.000000,5.113737,-4.755000,0.135266,0,-0.092087,5.141264,-4.755001,0.095460,0
636.355000,0.079106,3.757965,-0.090286,-0.042801,0.301450,-0.952521,0.017372,0.953475,0.300972,0.000000,1.000000,0.000000,0.000000,5.113737,-4.755000,0.135266,0,-0.130500,5.234238,-4.755000,0.172610,0
727.266000,0.075950,3.763785,-0.090182,-0.033322,0.304506,-0.951927,0.024461,0.952419,0.303807,0.000000,1.000000,0.000000,0.000000,5.113737,-4.755000,0.135266,0,-0.087343,5.255983,-4.755000,0.160394,0
818.204000,0.076330,3.765499,-0.093476,-0.031839,0.297786,-0.954102,0.027778,0.954481,0.296977,1.000000,0.000000,0.000000,0.000000,5.113737,-4.755000,0.135266,0,-0.079228,5.220412,-4.755000,0.128378,0
909.082000,0.077221,3.763947,-0.097220,-0.027282,0.288809,-0.956998,0.029566,0.957169,0.288017,1.000000,0.000000,0.000000,0.000000,5.113737,-4.755000,0.135266,0,-0.055563,5.169600,-4.755000,0.076788,0
999.988000,0.076132,3.762234,-0.098417,-0.033167,0.278906,-0.959746,0.029148,0.960135,0.278012,1.000000,0.000000,0.000000,0.000000,5.113737,-4.755000,0.135266,0,-0.084792,5.115456,-4.755000,0.084745,0
1090.893000,0.076122,3.761933,-0.099376,-0.033214,0.277163,-0.960249,0.029088,0.960640,0.276270,1.000000,0.000000,0.000000,0.000000,5.113737,-4.755000,0.135266,0,-0.084909,5.105718,-4.755000,0.085285,0
1181.824000,0.072870,3.761006,-0.099629,-0.034069,0.280781,-0.959167,0.028491,0.959607,0.279898,1.000000,0.000000,0.000000,0.000000,5.113737,-4.755000,0.135266,0,-0.092487,5.123792,-4.755000,0.092840,0
1272.705000,0.072141,3.748857,-0.105585,-0.032195,0.274853,-0.960947,0.025803,0.961354,0.274105,1.000000,0.000000,0.000000,0.000000,5.113737,-4.755000,0.135266,0,-0.083629,5.078697,-4.755001,0.090407,1
1363.619000,0.072075,3.743144,-0.110535,-0.031999,0.274198,-0.961141,0.025744,0.961540,0.273455,0.000000,1.000000,0.000000,-0.291500,2.340300,-4.755000,0.135266,1,-0.082550,5.068135,-4.755000,2.633486,0
1454.532000,0.072723,3.741348,-0.110925,-0.028188,0.273551,-0.961444,0.027650,0.961672,0.272805,0.000000,1.000000,0.000000,-0.291500,2.340300,-4.755000,0.135266,1,-0.063434,5.062685,-4.755000,2.630273,0
1545.450000,0.070148,3.738590,-0.108303,-0.027655,0.266737,-0.963373,0.027183,0.963585,0.266015,0.000000,1.000000,0.000000,-0.291500,2.340300,-4.755000,0.135266,1,-0.063244,5.025157,-4.755000,2.599363,0
1636.368000,0.069655,3.718281,-0.096931,-0.031132,0.223977,-0.974097,0.031501,0.974305,0.223018,0.000000,1.000000,0.000000,-0.291500,2.340300,-4.755000,0.135266,1,-0.079217,4.789322,-4.755000,2.397729,0
1727.283000,0.049485,3.640180,-0.111404,-0.061429,0.101576,-0.992929,0.046654,0.994013,0.098801,0.000000,1.000000,0.000000,-0.291500,2.340300,-4.755000,0.135266,1,-0.237798,4.115219,-4.755000,1.766889,0
1818.172000,0.045413,3.580166,-0.114421,-0.059439,0.011191,-0.998169,0.081172,0.996680,0.006341,0.000000,1.000000,0.000000,-0.291500,2.340300,-4.755000,0.135266,1,-0.230926,3.632193,-4.755000,1.293267,0
1909.082000,0.032202,3.498455,-0.109343,-0.068787,-0.086063,-0.993912,0.069359,0.993449,-0.090823,0.000000,1.000000,0.000000,-0.291500,2.340300,-4.755000,0.135266,1,-0.289314,3.096188,-4.755000,0.753074,0
1999.982000,0.023800,3.481963,-0.109657,-0.069589,-0.106264,-0.991900,0.077572,0.990723,-0.111580,0.000000,1.000000,0.000000,-0.291500,2.340300,-4.755000,0.135266,1,-0.302104,2.984301,-4.755000,0.640521,0
2090.893000,0.019459,3.466939,-0.112001,-0.074798,-0.130424,-0.988633,0.082338,0.987217,-0.136467,0.000000,1.000000,0.000000,-0.291500,2.340300,-4.755000,0.135266,1,-0.331823,2.854418,-4.755000,0.511706,0
2181.813000,0.020231,3.446262,-0.113503,-0.070408,-0.158208,-0.984892,0.089139,0.982395,-0.164179,0.000000,1.000000,0.000000,-0.291500,2.340300,-4.755000,0.135266,1,-0.311582,2.700678,-4.755001,0.356629,0
2272.707000,0.017234,3.422857,-0.116298,-0.069804,-0.188220,-0.979643,0.088271,0.977021,-0.194006,0.000000,1.000000,0.000000,-0.291500,2.340300,-4.755000,0.135266,1,-0.313294,2.531619,-4.755000,0.189443,0
2363.615000,0.018255,3.407221,-0.117892,-0.064493,-0.207069,-0.976198,0.089798,0.973062,-0.212337,1.000000,0.000000,0.000000,-0.291500,2.340300,-4.755000,0.135266,1,-0.288100,2.423607,-4.755001,0.081526,0
2454.550000,0.018362,3.401868,-0.114990,-0.064303,-0.216421,-0.974180,0.092004,0.970757,-0.221733,1.000000,0.000000,0.000000,-0.291500,2.340300,-4.755000,0.135266,1,-0.287911,2.371059,-4.755000,0.030192,0
2545.468000,0.019829,3.390203,-0.114798,-0.069441,-0.232490,-0.970117,0.096946,0.966289,-0.238511,1.000000,0.000000,0.000000,-0.291500,2.340300,-4.755000,0.135266,1,-0.312318,2.278173,-4.755000,0.063566,0
2636.340000,0.023980,3.386611,-0.111605,-0.074656,-0.231196,-0.970039,0.096370,0.966527,-0.237776,1.000000,0.000000,0.000000,-0.291500,2.340300,-4.755000,0.135266,1,-0.333386,2.279919,-4.755000,0.071472,0
2727.270000,0.031985,3.382044,-0.104207,-0.072023,-0.224142,-0.971892,0.096451,0.968290,-0.230459,1.000000,0.000000,0.000000,-0.291500,2.340300,-4.755000,0.135266,1,-0.312665,2.309458,-4.755000,0.036441,1
2818.176000,0.032933,3.381280,-0.104305,-0.069474,-0.216527,-0.973802,0.100827,0.969637,-0.222794,0.000000,1.000000,0.000000,0.570260,4.992524,-4.755000,0.135266,2,-0.298862,2.347190,-4.755000,2.711506,0
2909.097000,0.033562,3.381476,-0.104344,-0.066033,-0.215512,-0.974266,0.100819,0.969959,-0.221392,0.000000,1.000000,0.000000,0.570260,4.992524,-4.755000,0.135266,2,-0.281645,2.352731,-4.755000,2.702484,0
2999.994000,0.037581,3.391586,-0.114310,-0.043951,-0.199639,-0.978883,0.100336,0.973994,-0.203146,0.000000,1.000000,0.000000,0.570260,4.992524,-4.755000,0.135266,2,-0.170780,2.445139,-4.755000,2.597208,0
3090.910000,0.068108,3.476176,-0.115718,0.015710,-0.092237,-0.995613,0.131885,0.987227,-0.089379,0.000000,1.000000,0.000000,0.570260,4.992524,-4.755000,0.135266,2,0.141310,3.046375,-4.755000,1.985358,0
3181.805000,0.111806,3.561507,-0.123112,0.056538,0.008884,-0.998361,0.136269,0.990534,0.016531,0.000000,1.000000,0.000000,0.570260,4.992524,-4.755000,0.135266,2,0.374113,3.602724,-4.755000,1.403377,0
3272.714000,0.135811,3.652627,-0.128330,0.074599,0.093760,-0.992796,0.145173,0.983943,0.103832,0.000000,1.000000,0.000000,0.570260,4.992524,-4.755000,0.135266,2,0.483461,4.089569,-4.755000,0.902528,0
3363.608000,0.146385,3.713305,-0.134027,0.073790,0.139167,-0.987516,0.136551,0.979479,0.148238,0.000000,1.000000,0.000000,0.570260,4.992524,-4.755000,0.135266,2,0.491678,4.364524,-4.755000,0.625999,0
3454.536000,0.154020,3.779638,-0.130958,0.078323,0.186684,-0.979293,0.135236,0.971241,0.195965,0.000000,1.000000,0.000000,0.570260,4.992524,-4.755000,0.135266,2,0.523846,4.661126,-4.755000,0.328159,0
3545.457000,0.167440,3.816080,-0.131262,0.087503,0.209987,-0.973781,0.118595,0.968382,0.219479,0.000000,1.000000,0.000000,0.570260,4.992524,-4.755000,0.135266,2,0.582922,4.813147,-4.755000,0.176068,0
3636.376000,0.171074,3.837937,-0.134115,0.086351,0.220014,-0.971667,0.115008,0.966589,0.229085,1.000000,0.000000,0.000000,0.570260,4.992524,-4.755000,0.135266,2,0.581724,4.884241,-4.755000,0.106468,0
3727.260000,0.170033,3.842922,-0.134043,0.080647,0.222527,-0.971585,0.115058,0.966166,0.230836,1.000000,0.000000,0.000000,0.570260,4.992524,-4.755000,0.135266,2,0.553599,4.901285,-4.755000,0.090187,0
3818.161000,0.163869,3.849330,-0.131584,0.075877,0.228956,-0.970475,0.118268,0.964344,0.236756,1.000000,0.000000,0.000000,0.570260,4.992524,-4.755000,0.135266,2,0.525351,4.940092,-4.755000,0.067294,0
3909.102000,0.153125,3.855129,-0.131565,0.069337,0.229543,-0.970825,0.114953,0.964847,0.236340,1.000000,0.000000,0.000000,0.570260,4.992524,-4.755000,0.135266,2,0.483336,4.948302,-4.755000,0.096175,0
4000.018000,0.150085,3.856380,-0.131599,0.064847,0.230126,-0.970998,0.112374,0.965173,0.236250,1.000000,0.000000,0.000000,0.570260,4.992524,-4.755000,0.135266,2,0.458855,4.952122,-4.755000,0.117348,0
4090.912000,0.146670,3.860123,-0.131538,0.071607,0.229416,-0.970691,0.112918,0.965068,0.236417,1.000000,0.000000,0.000000,0.570260,4.992524,-4.755000,0.135266,2,0.487736,4.952845,-4.755001,0.090329,1
4181.806000,0.145620,3.860520,-0.131634,0.074071,0.227538,-0.970948,0.114021,0.965306,0.234914,0.000000,1.000000,0.000000,-0.824097,2.577427,-4.755000,0.135266,3,0.498325,4.943987,-4.755000,2.635215,0
4272.719000,0.142982,3.862150,-0.131551,0.077747,0.227713,-0.970619,0.114741,0.965054,0.235598,0.000000,1.000000,0.000000,-0.824097,2.577427,-4.755000,0.135266,3,0.513323,4.946839,-4.755000,2.643610,0
4363.618000,0.137459,3.868285,-0.131502,0.080261,0.227696,-0.970419,0.116509,0.964743,0.236001,0.000000,1.000000,0.000000,-0.824097,2.577427,-4.755000,0.135266,3,0.519857,4.953130,-4.755000,2.651269,0
4454.552000,0.117840,3.867592,-0.128795,0.058029,0.213515,-0.975215,0.113142,0.969161,0.218921,0.000000,1.000000,0.000000,-0.824097,2.577427,-4.755000,0.135266,3,0.393116,4.880458,-4.755000,2.543483,0
4545.414000,0.055714,3.798751,-0.135521,-0.031823,0.115057,-0.992849,0.082106,0.990296,0.112130,0.000000,1.000000,0.000000,-0.824097,2.577427,-4.755000,0.135266,3,-0.092352,4.334085,-4.755000,1.894548,0
4636.367000,-0.018608,3.693659,-0.144100,-0.094003,0.009681,-0.995525,0.107528,0.994202,-0.000485,0.000000,1.000000,0.000000,-0.824097,2.577427,-4.755000,0.135266,3,-0.453996,3.738498,-4.755000,1.218403,0
4727.267000,-0.056579,3.607960,-0.145594,-0.124129,-0.059724,-0.990467,0.115519,0.990530,-0.074205,0.000000,1.000000,0.000000,-0.824097,2.577427,-4.755000,0.135266,3,-0.634248,3.330016,-4.755000,0.773136,0
4818.161000,-0.088610,3.523357,-0.145287,-0.155733,-0.108514,-0.981821,0.129865,0.983071,-0.129251,0.000000,1.000000,0.000000,-0.824097,2.577427,-4.755000,0.135266,3,-0.819789,3.013877,-4.755000,0.433820,0
4909.081000,-0.118889,3.479601,-0.140749,-0.175653,-0.145913,-0.973579,0.125643,0.977545,-0.169176,0.000000,1.000000,0.000000,-0.824097,2.577427,-4.755000,0.135266,3,-0.951392,2.788051,-4.755000,0.245960,0
4999.972000,-0.126933,3.446077,-0.149802,-0.173447,-0.172153,-0.969680,0.123296,0.973062,-0.194807,0.000000,1.000000,0.000000,-0.824097,2.577427,-4.755000,0.135266,3,-0.950669,2.628491,-4.755000,0.135848,0
5090.880000,-0.125781,3.418733,-0.147119,-0.167562,-0.192169,-0.966951,0.125631,0.968659,-0.214279,1.000000,0.000000,0.000000,-0.824097,2.577427,-4.755000,0.135266,3,-0.924277,2.502975,-4.755000,0.120881,0
5181.832000,-0.116909,3.391863,-0.156119,-0.159464,-0.205483,-0.965582,0.123375,0.966281,-0.226007,0.000000,1.000000,0.000000,-0.824097,2.577427,-4.755000,0.135266,3,-0.876405,2.413187,-4.755001,0.167150,0
5272.715000,-0.104539,3.388375,-0.151075,-0.154806,-0.205446,-0.966347,0.125879,0.966064,-0.225552,0.000000,1.000000,0.000000,-0.824097,2.577427,-4.755000,0.135266,3,-0.842075,2.409575,-4.755000,0.164647,0
5363.649000,-0.100069,3.389798,-0.146022,-0.157463,-0.197055,-0.967665,0.124978,0.968034,-0.217467,1.000000,0.000000,0.000000,-0.824097,2.577427,-4.755000,0.135266,3,-0.850064,2.451229,-4.755000,0.125546,0
5454.554000,-0.092682,3.390857,-0.145417,-0.155091,-0.191462,-0.969169,0.126397,0.969131,-0.211681,1.000000,0.000000,0.000000,-0.824097,2.577427,-4.755000,0.135266,3,-0.830329,2.480223,-4.755000,0.095416,0
5545.441000,-0.089814,3.391923,-0.143788,-0.154339,-0.185820,-0.970387,0.127317,0.970226,-0.206039,1.000000,0.000000,0.000000,-0.824097,2.577427,-4.755000,0.135266,3,-0.823225,2.508918,-4.755001,0.067346,0
5636.357000,-0.083283,3.395759,-0.143519,-0.151846,-0.179690,-0.971933,0.128225,0.971445,-0.199632,1.000000,0.000000,0.000000,-0.824097,2.577427,-4.755000,0.135266,3,-0.803737,2.543195,-4.755000,0.039711,0
5727.245000,-0.078215,3.405640,-0.139463,-0.148581,-0.172867,-0.973674,0.132113,0.972307,-0.192784,1.000000,0.000000,0.000000,-0.824097,2.577427,-4.755000,0.135266,3,-0.782540,2.586194,-4.755000,0.041770,0
