double time_stamp,w_posX,w_posY,w_posZ,w_dirX,w_dirY,w_dirZ,w_upX,w_upY,w_upZ,t_colorR,t_colorG,t_colorB,t_posX,t_posY,t_posZ,t_scale,t_index,intersectionX,intersectionY,intersectionZ,distance_to_target,button_status
90.854000,-0.036952,3.443327,-0.096695,0.035119,-0.183054,-0.982475,-0.058894,0.980994,-0.184883,0.000000,1.000000,0.000000,0.000000,4.855827,-4.755000,0.135266,0,0.129560,2.575396,-4.755000,2.244788,0
181.777000,-0.045094,3.454547,-0.107964,0.022015,-0.154114,-0.987808,-0.047312,0.986780,-0.155008,0.000000,1.000000,0.000000,0.000000,4.855827,-4.755000,0.135266,0,0.058472,2.729533,-4.755000,2.101503,0
272.695000,-0.056866,3.457806,-0.111133,0.000963,-0.138545,-0.990356,-0.051000,0.989061,-0.138414,0.000000,1.000000,0.000000,0.000000,4.855827,-4.755000,0.135266,0,-0.052348,2.808155,-4.755000,2.028607,0
363.607000,-0.056917,3.459299,-0.111071,0.001609,-0.130583,-0.991436,-0.049349,0.990219,-0.130503,0.000000,1.000000,0.000000,0.000000,4.855827,-4.755000,0.135266,0,-0.049381,2.847644,-4.755000,1.991611,0
454.517000,-0.056065,3.463490,-0.115745,0.003263,-0.108252,-0.994118,-0.032610,0.993583,-0.108301,0.000000,1.000000,0.000000,0.000000,4.855827,-4.755000,0.135266,0,-0.040839,2.958310,-4.755000,1.886823,0
545.395000,-0.043713,3.466350,-0.115903,-0.002575,-0.092869,-0.995675,-0.035079,0.995074,-0.092722,0.000000,1.000000,0.000000,0.000000,4.855827,-4.755000,0.135266,0,-0.055712,3.033649,-4.755000,1.815145,0
636.336000,-0.027789,3.476944,-0.118488,-0.001197,-0.042752,-0.999085,-0.045052,0.998074,-0.042655,0.000000,1.000000,0.000000,0.000000,4.855827,-4.755000,0.135266,0,-0.033345,3.278542,-4.755000,1.576194,0
727.230000,-0.015875,3.516354,-0.119757,-0.004176,0.030929,-0.999513,-0.034104,0.998936,0.031054,0.000000,1.000000,0.000000,0.000000,4.855827,-4.755000,0.135266,0,-0.035241,3.659789,-4.755000,1.195990,0
818.160000,-0.021869,3.584507,-0.089796,-0.001678,0.083395,-0.996515,-0.047688,0.995376,0.083380,0.000000,1.000000,0.000000,0.000000,4.855827,-4.755000,0.135266,0,-0.029723,3.974920,-4.755001,0.878346,0
909.055000,-0.020880,3.619783,-0.083036,0.002981,0.112679,-0.993627,-0.043478,0.992706,0.112444,0.000000,1.000000,0.000000,0.000000,4.855827,-4.755000,0.135266,0,-0.006861,4.149592,-4.755000,0.701769,0
999.950000,-0.018911,3.661703,-0.077038,0.007358,0.147065,-0.989100,-0.035689,0.988535,0.146715,0.000000,1.000000,0.000000,0.000000,4.855827,-4.755000,0.135266,0,0.015888,4.357248,-4.755000,0.493431,0
1090.876000,-0.019868,3.698470,-0.063538,0.005658,0.169163,-0.985572,-0.034377,0.985038,0.168874,0.000000,1.000000,0.000000,0.000000,4.855827,-4.755000,0.135266,0,0.007065,4.503709,-4.755000,0.347122,0
1181.800000,-0.019151,3.722753,-0.058818,0.007992,0.185457,-0.982620,-0.025535,0.982368,0.185202,0.000000,1.000000,0.000000,0.000000,4.855827,-4.755000,0.135266,0,0.019046,4.609100,-4.755000,0.243223,0
1272.684000,-0.015470,3.737352,-0.051829,0.009078,0.197737,-0.980213,-0.023119,0.980033,0.197487,0.000000,1.000000,0.000000,0.000000,4.855827,-4.755000,0.135266,0,0.028088,4.686116,-4.755000,0.168764,0
1363.609000,-0.017021,3.750254,-0.051047,0.000672,0.206687,-0.978407,-0.023560,0.978139,0.206614,1.000000,0.000000,0.000000,0.000000,4.855827,-4.755000,0.135266,0,-0.013790,4.743957,-4.755000,0.110318,0
1454.527000,-0.017522,3.762247,-0.047073,-0.004705,0.211213,-0.977429,-0.021342,0.977196,0.211265,1.000000,0.000000,0.000000,0.000000,4.855827,-4.755000,0.135266,0,-0.040184,4.779585,-4.755000,0.084701,0
1545.400000,-0.017853,3.768273,-0.043081,-0.007674,0.217536,-0.976022,-0.022375,0.975769,0.217656,1.000000,0.000000,0.000000,0.000000,4.855827,-4.755000,0.135266,0,-0.054899,4.818469,-4.755000,0.065956,1
1636.317000,-0.020809,3.775109,-0.041468,-0.006598,0.216056,-0.976359,-0.017220,0.976211,0.216140,0.000000,1.000000,0.000000,-0.291500,2.082390,-4.755000,0.135266,1,-0.052662,4.818156,-4.755000,2.682153,1
1727.252000,-0.021277,3.782508,-0.032006,-0.008921,0.213036,-0.977004,-0.018544,0.976839,0.213169,0.000000,1.000000,0.000000,-0.291500,2.082390,-4.755000,0.135266,1,-0.064400,4.812357,-4.755000,2.677389,1
1818.150000,-0.028278,3.782633,-0.032331,-0.012502,0.208395,-0.977965,-0.020200,0.977789,0.208616,0.000000,1.000000,0.000000,-0.291500,2.082390,-4.755000,0.135266,1,-0.088651,4.788990,-4.755000,2.655474,0
1909.068000,-0.031228,3.797088,-0.025879,-0.015815,0.205769,-0.978473,-0.020073,0.978333,0.206064,0.000000,1.000000,0.000000,-0.291500,2.082390,-4.755000,0.135266,1,-0.107666,4.791604,-4.755000,2.658212,0
1999.966000,-0.037344,3.790196,-0.022617,-0.015348,0.177220,-0.984052,-0.025783,0.983770,0.177572,0.000000,1.000000,0.000000,-0.291500,2.082390,-4.755000,0.135266,1,-0.111152,4.642462,-4.755000,2.526491,0
2090.884000,-0.044557,3.712334,-0.034954,-0.025672,0.061656,-0.997767,-0.051728,0.996677,0.062920,0.000000,1.000000,0.000000,-0.291500,2.082390,-4.755000,0.135266,1,-0.166001,4.004004,-4.755000,1.922256,0
2181.786000,-0.046406,3.623166,-0.038549,-0.034788,-0.047277,-0.998276,-0.094541,0.994557,-0.043806,0.000000,1.000000,0.000000,-0.291500,2.082390,-4.755000,0.135266,1,-0.210766,3.399801,-4.755000,1.318277,0
2272.679000,-0.049450,3.576891,-0.027044,-0.048687,-0.111132,-0.992612,-0.112868,0.988038,-0.105084,0.000000,1.000000,0.000000,-0.291500,2.082390,-4.755000,0.135266,1,-0.281354,3.047553,-4.755000,0.959183,0
2363.611000,-0.048488,3.549291,-0.022452,-0.050382,-0.141054,-0.988719,-0.110279,0.984708,-0.134862,0.000000,1.000000,0.000000,-0.291500,2.082390,-4.755000,0.135266,1,-0.289642,2.874131,-4.755000,0.783814,0
2454.500000,-0.066111,3.508039,-0.019052,-0.050347,-0.192801,-0.979945,-0.128332,0.974305,-0.185098,0.000000,1.000000,0.000000,-0.291500,2.082390,-4.755000,0.135266,1,-0.309430,2.576260,-4.755000,0.485112,0
2545.441000,-0.063231,3.470698,-0.033143,-0.046114,-0.231415,-0.971762,-0.140528,0.964625,-0.223047,0.000000,1.000000,0.000000,-0.291500,2.082390,-4.755000,0.135266,1,-0.287302,2.346238,-4.755000,0.256674,0
2636.344000,-0.059351,3.446069,-0.039191,-0.041450,-0.255605,-0.965892,-0.149222,0.957464,-0.246971,1.000000,0.000000,0.000000,-0.291500,2.082390,-4.755000,0.135266,1,-0.261721,2.198121,-4.755001,0.115459,0
2727.257000,-0.058954,3.431380,-0.045714,-0.038196,-0.275563,-0.960524,-0.155244,0.951191,-0.266713,1.000000,0.000000,0.000000,-0.291500,2.082390,-4.755000,0.135266,1,-0.246225,2.080338,-4.755000,0.045307,0
