mode,time_stamp,x,z,dx,dz,distance_traveled,fvec_x,fvec_z,user_speed,hdirX,hdirY,hdirZ,hupX,hupY,hupZ,angle
M,490,-0.177174,-1.706944,-0.177174,-1.706944,1.716115,-0.204805,-0.978803,3.500000,-0.095249,-0.463842,-0.880783,0.046243,0.881788,-0.469373,0.206265
M,581,-0.242239,-2.018392,-0.065064,-0.311448,0.318171,-0.235759,-0.971812,3.500000,-0.110473,-0.574176,-0.811244,0.052416,0.811739,-0.581664,0.238000
M,672,-0.317046,-2.327608,-0.074807,-0.309216,0.318137,-0.266473,-0.963843,3.500000,-0.109099,-0.668162,-0.735974,0.058240,0.734825,-0.675752,0.269731
M,763,-0.401533,-2.634336,-0.084487,-0.306728,0.318151,-0.296920,-0.954902,3.500000,-0.100657,-0.693425,-0.713464,0.056325,0.711984,-0.699933,0.301465
M,854,-0.495584,-2.938170,-0.094051,-0.303834,0.318058,-0.327060,-0.945004,3.500000,-0.098171,-0.674575,-0.731650,0.052158,0.730703,-0.680700,0.333191
M,945,-0.599203,-3.239104,-0.103619,-0.300934,0.318273,-0.356890,-0.934146,3.500000,-0.093508,-0.638326,-0.764066,0.050390,0.763410,-0.643945,0.364937
M,1036,-0.712147,-3.536433,-0.112944,-0.297328,0.318058,-0.386342,-0.922356,3.500000,-0.092089,-0.606430,-0.789787,0.039214,0.790333,-0.611421,0.396662
M,1127,-0.834409,-3.830151,-0.122262,-0.293718,0.318148,-0.415413,-0.909633,3.500000,-0.090448,-0.561543,-0.822489,0.012865,0.825146,-0.564773,0.428397
M,1218,-0.965844,-4.119898,-0.131435,-0.289748,0.318165,-0.444066,-0.895994,3.500000,-0.095760,-0.504430,-0.858126,-0.011315,0.862584,-0.505787,0.460131
M,1309,-1.106282,-4.405312,-0.140438,-0.285414,0.318094,-0.472264,-0.881457,3.500000,-0.106789,-0.446508,-0.888384,-0.029738,0.894528,-0.446022,0.491858
M,1399,-1.255677,-4.686283,-0.149395,-0.280971,0.318220,-0.499997,-0.866027,3.500000,-0.118926,-0.376959,-0.918563,-0.028140,0.926036,-0.376383,0.523595
M,1490,-1.414796,-4.961889,-0.159119,-0.275606,0.318241,-0.527228,-0.849724,3.500000,-0.146227,-0.253589,-0.956196,-0.007928,0.966855,-0.255203,0.555335
M,1581,-1.582398,-5.232201,-0.167602,-0.270312,0.318055,-0.553913,-0.832575,3.500000,-0.189195,-0.121571,-0.974385,0.004576,0.992187,-0.124681,0.587057
M,1672,-1.758486,-5.497241,-0.176088,-0.265039,0.318203,-0.580054,-0.814578,3.500000,-0.220552,-0.082212,-0.971904,0.009122,0.996224,-0.086340,0.618795
M,1763,-1.942799,-5.756595,-0.184312,-0.259354,0.318175,-0.605610,-0.795761,3.500000,-0.243649,-0.089902,-0.965688,0.001257,0.995665,-0.093010,0.650533
M,1854,-2.135163,-6.010024,-0.192364,-0.253429,0.318167,-0.630555,-0.776145,3.500000,-0.274232,-0.089949,-0.957448,-0.017067,0.995914,-0.088675,0.682268
M,1945,-2.335371,-6.257259,-0.200208,-0.247235,0.318133,-0.654863,-0.755748,3.500000,-0.307390,-0.087227,-0.947577,-0.020565,0.996166,-0.085029,0.714001
M,2036,-2.543170,-6.497999,-0.207799,-0.240740,0.318019,-0.678503,-0.734598,3.500000,-0.339469,-0.074892,-0.937631,-0.015918,0.997140,-0.073882,0.745722
M,2127,-2.758548,-6.732224,-0.215378,-0.234224,0.318196,-0.701472,-0.712697,3.500000,-0.371698,-0.061729,-0.926299,-0.021402,0.998091,-0.057926,0.777460
M,2218,-2.981153,-6.959542,-0.222605,-0.227318,0.318161,-0.723733,-0.690081,3.500000,-0.391963,-0.047582,-0.918750,-0.016531,0.998865,-0.044679,0.809196
M,2309,-3.210820,-7.179783,-0.229666,-0.220242,0.318203,-0.745266,-0.666768,3.500000,-0.397807,-0.041507,-0.916530,0.000719,0.998961,-0.045552,0.840933
M,2399,-3.447218,-7.392637,-0.236398,-0.212854,0.318105,-0.766041,-0.642792,3.500000,-0.393533,-0.041627,-0.918367,0.001779,0.998938,-0.046042,0.872659
M,2490,-3.690964,-7.597167,-0.243746,-0.204530,0.318189,-0.786049,-0.618163,3.500000,-0.390772,-0.045237,-0.919375,-0.001367,0.998819,-0.048565,0.904392
M,2581,-3.940958,-7.793895,-0.249994,-0.196728,0.318118,-0.805264,-0.592916,3.500000,-0.382169,-0.047683,-0.922861,0.001212,0.998641,-0.052100,0.936121
M,2672,-4.197169,-7.982793,-0.256211,-0.188898,0.318319,-0.823680,-0.567054,3.500000,-0.376005,-0.047929,-0.925377,0.000295,0.998655,-0.051844,0.967871
M,2763,-4.458947,-8.163381,-0.261778,-0.180587,0.318025,-0.841252,-0.540643,3.500000,-0.376006,-0.047655,-0.925391,-0.006352,0.998785,-0.048853,0.999595
M,2854,-4.726363,-8.335720,-0.267416,-0.172339,0.318139,-0.857982,-0.513680,3.500000,-0.375996,-0.043905,-0.925580,-0.011452,0.999021,-0.042736,1.031328
M,2945,-4.999059,-8.499573,-0.272696,-0.163853,0.318136,-0.873847,-0.486200,3.500000,-0.375991,-0.038753,-0.925813,-0.012408,0.999246,-0.036788,1.063060
M,3036,-5.276768,-8.654781,-0.277709,-0.155209,0.318139,-0.888834,-0.458230,3.500000,-0.375981,-0.034535,-0.925984,-0.010820,0.999401,-0.032880,1.094793
M,3127,-5.559243,-8.801204,-0.282475,-0.146422,0.318169,-0.902926,-0.429796,3.500000,-0.375981,-0.034535,-0.925984,-0.010820,0.999401,-0.032880,1.126529
M,3218,-5.846200,-8.938689,-0.286957,-0.137486,0.318193,-0.916110,-0.400928,3.500000,-0.375768,-0.034541,-0.926070,-0.009917,0.999398,-0.033252,1.158267
