mode,time_stamp,x,z,dx,dz,distance_traveled,fvec_x,fvec_z,user_speed,hdirX,hdirY,hdirZ,hupX,hupY,hupZ,angle
N,345,-0.095498,-1.205570,-0.095498,-1.205570,1.209346,-0.154967,-0.987920,3.500000,-0.094124,0.137090,-0.986076,0.088723,0.987688,0.128845,0.155594
N,409,-0.127481,-1.425122,-0.031983,-0.219552,0.221869,-0.176790,-0.984249,3.500000,-0.093850,0.140491,-0.985624,0.089047,0.987210,0.132238,0.177724
N,436,-0.144025,-1.518944,-0.016544,-0.093822,0.095270,-0.186134,-0.982525,3.500000,-0.093637,0.143150,-0.985261,0.089299,0.986828,0.134891,0.187225
N,454,-0.155093,-1.581714,-0.011068,-0.062770,0.063738,-0.192376,-0.981321,3.500000,-0.093170,0.144148,-0.985160,0.089388,0.986680,0.135916,0.193583
N,472,-0.166146,-1.644398,-0.011053,-0.062684,0.063651,-0.198602,-0.980080,3.500000,-0.092010,0.145579,-0.985059,0.089313,0.986475,0.137446,0.199931
N,490,-0.177191,-1.707041,-0.011046,-0.062642,0.063609,-0.204815,-0.978801,3.500000,-0.091751,0.146600,-0.984932,0.089250,0.986333,0.138495,0.206275
N,509,-0.189326,-1.769457,-0.012135,-0.062417,0.063585,-0.211018,-0.977482,3.500000,-0.091670,0.147635,-0.984784,0.089346,0.986179,0.139528,0.212616
N,527,-0.202570,-1.831766,-0.013244,-0.062308,0.063700,-0.217224,-0.976122,3.500000,-0.091670,0.147635,-0.984785,0.089346,0.986179,0.139528,0.218969
N,545,-0.215788,-1.893950,-0.013218,-0.062185,0.063574,-0.223409,-0.974725,3.500000,-0.091670,0.147635,-0.984785,0.089346,0.986179,0.139528,0.225310
N,563,-0.229002,-1.956118,-0.013214,-0.062168,0.063557,-0.229584,-0.973289,3.500000,-0.091670,0.147635,-0.984784,0.089346,0.986179,0.139528,0.231650
N,581,-0.242244,-2.018416,-0.013242,-0.062298,0.063689,-0.235762,-0.971811,3.500000,-0.091670,0.147635,-0.984784,0.089346,0.986179,0.139528,0.238002
N,599,-0.255465,-2.080618,-0.013221,-0.062202,0.063592,-0.241920,-0.970296,3.500000,-0.091670,0.147635,-0.984784,0.089346,0.986179,0.139528,0.244344
N,618,-0.270854,-2.142344,-0.015389,-0.061727,0.063616,-0.248070,-0.968742,3.500000,-0.091670,0.147635,-0.984784,0.089346,0.986179,0.139528,0.250688
N,636,-0.286263,-2.204146,-0.015409,-0.061801,0.063693,-0.254219,-0.967147,3.500000,-0.091670,0.147635,-0.984784,0.089346,0.986179,0.139528,0.257040
N,654,-0.301658,-2.265892,-0.015395,-0.061747,0.063637,-0.260353,-0.965513,3.500000,-0.092262,0.147680,-0.984722,0.089330,0.986180,0.139529,0.263388
