double time_stamp,w_posX,w_posY,w_posZ,w_dirX,w_dirY,w_dirZ,w_upX,w_upY,w_upZ,t_colorR,t_colorG,t_colorB,t_posX,t_posY,t_posZ,t_scale,t_index,intersectionX,intersectionY,intersectionZ,distance_to_target,button_status
18.186000,-0.049282,4.133368,-0.151835,-0.056430,0.112048,-0.992099,-0.056530,0.991730,0.115222,0.000000,1.000000,0.000000,0.000000,5.516504,-4.755000,0.135266,0,-0.311108,4.653252,-4.755000,0.914180,0
36.358000,-0.049090,4.133660,-0.151794,-0.055530,0.113043,-0.992037,-0.055705,0.991672,0.116120,0.000000,1.000000,0.000000,0.000000,5.516504,-4.755000,0.135266,0,-0.306759,4.658198,-4.755000,0.907960,0
54.534000,-0.049045,4.134976,-0.151764,-0.055537,0.113654,-0.991967,-0.054308,0.991685,0.116663,0.000000,1.000000,0.000000,0.000000,5.516504,-4.755000,0.135266,0,-0.306767,4.662390,-4.755000,0.903998,0
72.731000,-0.049058,4.135629,-0.151762,-0.055489,0.113675,-0.991967,-0.054975,0.991643,0.116713,0.000000,1.000000,0.000000,0.000000,5.516504,-4.755000,0.135266,0,-0.306554,4.663137,-4.755000,0.903223,0
90.908000,-0.049140,4.136314,-0.151754,-0.055388,0.113757,-0.991963,-0.058009,0.991444,0.116937,0.000000,1.000000,0.000000,0.000000,5.516504,-4.755000,0.135266,0,-0.306170,4.664208,-4.755000,0.902080,0
109.095000,-0.049383,4.136813,-0.151740,-0.056258,0.113730,-0.991918,-0.060571,0.991272,0.117092,0.000000,1.000000,0.000000,0.000000,5.516504,-4.755000,0.135266,0,-0.310462,4.664610,-4.755000,0.903218,0
127.263000,-0.049609,4.136942,-0.151750,-0.057326,0.113282,-0.991908,-0.061522,0.991252,0.116763,0.000000,1.000000,0.000000,0.000000,5.516504,-4.755000,0.135266,0,-0.315645,4.662661,-4.755000,0.906917,0
145.453000,-0.049567,4.137168,-0.151752,-0.057095,0.113295,-0.991920,-0.061524,0.991253,0.116760,0.000000,1.000000,0.000000,0.000000,5.516504,-4.755000,0.135266,0,-0.314531,4.662940,-4.755000,0.906256,0
163.631000,-0.049293,4.137563,-0.151766,-0.055599,0.113389,-0.991994,-0.061523,0.991254,0.116752,0.000000,1.000000,0.000000,0.000000,5.516504,-4.755000,0.135266,0,-0.307293,4.663732,-4.755000,0.902946,0
181.801000,-0.048895,4.137474,-0.152688,-0.053412,0.112886,-0.992171,-0.061556,0.991328,0.116104,0.000000,1.000000,0.000000,0.000000,5.516504,-4.755000,0.135266,0,-0.296652,4.661110,-4.755000,0.901769,0
199.997000,-0.048773,4.137314,-0.154312,-0.052501,0.112010,-0.992319,-0.062915,0.991344,0.115229,0.000000,1.000000,0.000000,0.000000,5.516504,-4.755000,0.135266,0,-0.292182,4.656629,-4.755001,0.904544,0
218.185000,-0.048846,4.137272,-0.155694,-0.052555,0.111797,-0.992340,-0.064842,0.991235,0.115106,0.000000,1.000000,0.000000,0.000000,5.516504,-4.755000,0.135266,0,-0.292429,4.655429,-4.755000,0.905772,0
236.346000,-0.049186,4.137394,-0.155783,-0.054075,0.112510,-0.992178,-0.066736,0.991003,0.116014,0.000000,1.000000,0.000000,0.000000,5.516504,-4.755000,0.135266,0,-0.299852,4.658931,-4.755000,0.904931,0
254.528000,-0.049350,4.137418,-0.155764,-0.055012,0.112639,-0.992112,-0.066505,0.990997,0.116200,0.000000,1.000000,0.000000,0.000000,5.516504,-4.755000,0.135266,0,-0.304374,4.659590,-4.755001,0.905860,0
272.693000,-0.049344,4.137419,-0.155765,-0.055012,0.112639,-0.992112,-0.066335,0.991009,0.116192,0.000000,1.000000,0.000000,0.000000,5.516504,-4.755000,0.135266,0,-0.304369,4.659591,-4.755000,0.905857,0
290.880000,-0.049344,4.137419,-0.155765,-0.055012,0.112639,-0.992112,-0.066335,0.991009,0.116192,0.000000,1.000000,0.000000,0.000000,5.516504,-4.755000,0.135266,0,-0.304369,4.659591,-4.755000,0.905857,0
309.101000,-0.049344,4.137419,-0.155765,-0.055012,0.112639,-0.992112,-0.066335,0.991009,0.116192,0.000000,1.000000,0.000000,0.000000,5.516504,-4.755000,0.135266,0,-0.304369,4.659591,-4.755000,0.905857,0
327.277000,-0.049344,4.137419,-0.155765,-0.055012,0.112639,-0.992112,-0.066335,0.991009,0.116192,0.000000,1.000000,0.000000,0.000000,5.516504,-4.755000,0.135266,0,-0.304369,4.659591,-4.755000,0.905857,0
345.452000,-0.049556,4.137567,-0.155705,-0.056178,0.113473,-0.991951,-0.066312,0.990903,0.117108,0.000000,1.000000,0.000000,0.000000,5.516504,-4.755000,0.135266,0,-0.310031,4.663697,-4.755001,0.903937,0
363.636000,-0.049678,4.137737,-0.155646,-0.056817,0.114424,-0.991806,-0.066454,0.990774,0.118112,0.000000,1.000000,0.000000,0.000000,5.516504,-4.755000,0.135266,0,-0.313160,4.668360,-4.755000,0.900631,0
381.810000,-0.049686,4.137770,-0.155635,-0.056829,0.114610,-0.991784,-0.066624,0.990739,0.118307,0.000000,1.000000,0.000000,0.000000,5.516504,-4.755000,0.135266,0,-0.313228,4.669269,-4.755001,0.899795,0
399.993000,-0.049665,4.137771,-0.155636,-0.056829,0.114610,-0.991784,-0.066007,0.990784,0.118277,0.000000,1.000000,0.000000,0.000000,5.516504,-4.755000,0.135266,0,-0.313208,4.669270,-4.755000,0.899787,0
418.157000,-0.049665,4.137771,-0.155636,-0.056829,0.114610,-0.991784,-0.066007,0.990784,0.118277,0.000000,1.000000,0.000000,0.000000,5.516504,-4.755000,0.135266,0,-0.313208,4.669270,-4.755000,0.899787,0
436.340000,-0.049630,4.137774,-0.155638,-0.056829,0.114610,-0.991784,-0.064937,0.990861,0.118224,0.000000,1.000000,0.000000,0.000000,5.516504,-4.755000,0.135266,0,-0.313173,4.669272,-4.755000,0.899773,0
454.540000,-0.049042,4.137772,-0.155637,-0.056829,0.114610,-0.991784,-0.065717,0.990806,0.118262,0.000000,1.000000,0.000000,0.000000,5.516504,-4.755000,0.135266,0,-0.312584,4.669270,-4.755000,0.899567,0
472.713000,-0.048460,4.137769,-0.155635,-0.056829,0.114610,-0.991784,-0.066813,0.990726,0.118316,0.000000,1.000000,0.000000,0.000000,5.516504,-4.755000,0.135266,0,-0.312003,4.669268,-4.755000,0.899364,0
490.882000,-0.048228,4.137893,-0.155597,-0.056871,0.115305,-0.991701,-0.067084,0.990622,0.119027,0.000000,1.000000,0.000000,0.000000,5.516504,-4.755000,0.135266,0,-0.311991,4.672667,-4.755000,0.896142,0
509.074000,-0.047999,4.138164,-0.155530,-0.055978,0.116795,-0.991577,-0.065076,0.990596,0.120353,0.000000,1.000000,0.000000,0.000000,5.516504,-4.755000,0.135266,0,-0.307657,4.679920,-4.755000,0.887721,0
527.259000,-0.047786,4.138206,-0.155533,-0.055084,0.117006,-0.991602,-0.063568,0.990685,0.120429,0.000000,1.000000,0.000000,0.000000,5.516504,-4.755000,0.135266,0,-0.303288,4.680928,-4.755000,0.885212,0
545.468000,-0.047757,4.138210,-0.155533,-0.054832,0.117033,-0.991613,-0.064073,0.990648,0.120463,0.000000,1.000000,0.000000,0.000000,5.516504,-4.755000,0.135266,0,-0.302090,4.681054,-4.755000,0.884669,0
563.612000,-0.047781,4.138212,-0.155531,-0.054769,0.117060,-0.991613,-0.065163,0.990568,0.120535,0.000000,1.000000,0.000000,0.000000,5.516504,-4.755000,0.135266,0,-0.301821,4.681178,-4.755000,0.884457,0
581.816000,-0.047843,4.138207,-0.155528,-0.054769,0.117060,-0.991613,-0.067044,0.990432,0.120623,0.000000,1.000000,0.000000,0.000000,5.516504,-4.755000,0.135266,0,-0.301883,4.681173,-4.755000,0.884483,0
600.003000,-0.047823,4.138315,-0.155497,-0.054805,0.117650,-0.991542,-0.066237,0.990418,0.121177,0.000000,1.000000,0.000000,0.000000,5.516504,-4.755000,0.135266,0,-0.302049,4.684061,-4.755001,0.881801,0
618.184000,-0.047806,4.138378,-0.155479,-0.054827,0.117997,-0.991499,-0.065607,0.990421,0.121497,0.000000,1.000000,0.000000,0.000000,5.516504,-4.755000,0.135266,0,-0.302146,4.685761,-4.755000,0.880222,0
636.327000,-0.047824,4.138377,-0.155478,-0.054827,0.117997,-0.991499,-0.066158,0.990382,0.121522,0.000000,1.000000,0.000000,0.000000,5.516504,-4.755000,0.135266,0,-0.302164,4.685760,-4.755000,0.880229,0
654.510000,-0.047833,4.138376,-0.155477,-0.054827,0.117997,-0.991499,-0.066411,0.990363,0.121534,0.000000,1.000000,0.000000,0.000000,5.516504,-4.755000,0.135266,0,-0.302173,4.685760,-4.755001,0.880233,0
672.718000,-0.047833,4.138376,-0.155477,-0.054827,0.117997,-0.991499,-0.066411,0.990363,0.121534,0.000000,1.000000,0.000000,0.000000,5.516504,-4.755000,0.135266,0,-0.302173,4.685760,-4.755001,0.880233,0
690.905000,-0.047844,4.138439,-0.155458,-0.054817,0.118351,-0.991458,-0.066809,0.990291,0.121905,0.000000,1.000000,0.000000,0.000000,5.516504,-4.755000,0.135266,0,-0.302149,4.687487,-4.755000,0.878586,0
709.092000,-0.047901,4.138762,-0.155355,-0.054930,0.120176,-0.991232,-0.067903,0.989983,0.123787,0.000000,1.000000,0.000000,0.000000,5.516504,-4.755000,0.135266,0,-0.302796,4.696418,-4.755000,0.870354,0
727.255000,-0.047890,4.139328,-0.155303,-0.054989,0.121115,-0.991114,-0.067249,0.989913,0.124700,0.000000,1.000000,0.000000,0.000000,5.516504,-4.755000,0.135266,0,-0.303091,4.701416,-4.755000,0.865736,0
745.441000,-0.047660,4.140242,-0.155273,-0.054493,0.121789,-0.991059,-0.066497,0.989888,0.125302,0.000000,1.000000,0.000000,0.000000,5.516504,-4.755000,0.135266,0,-0.300572,4.705494,-4.755000,0.860983,0
763.654000,-0.046959,4.141554,-0.155241,-0.054140,0.122482,-0.990993,-0.065598,0.989869,0.125927,0.000000,1.000000,0.000000,0.000000,5.516504,-4.755000,0.135266,0,-0.298256,4.710064,-4.755001,0.855848,0
781.798000,-0.045162,4.145041,-0.152790,-0.052162,0.125228,-0.990756,-0.064677,0.989600,0.128487,0.000000,1.000000,0.000000,0.000000,5.516504,-4.755000,0.135266,0,-0.287462,4.726744,-4.755000,0.836251,0
799.969000,-0.044662,4.147172,-0.150891,-0.051991,0.126412,-0.990614,-0.064872,0.989433,0.129666,0.000000,1.000000,0.000000,0.000000,5.516504,-4.755000,0.135266,0,-0.286301,4.734701,-4.755000,0.828334,0
