mode,path_radius,time_stamp,x,z,dx,dz,distance_traveled,fvec_x,fvec_z,is_stopped,colliding,distance_from_line,distance_outside,user_speed,hdirX,hdirY,hdirZ,hupX,hupY,hupZ
N,L,309,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.082584,-0.239655,-0.967339,0.104887,0.963174,-0.247578,
N,L,363,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.082172,-0.229321,-0.969876,0.101880,0.966136,-0.237069,
N,L,390,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.082999,-0.218077,-0.972396,0.099193,0.969109,-0.225806,
N,L,409,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.083235,-0.214950,-0.973072,0.098452,0.969909,-0.222672,
N,L,427,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.083844,-0.206643,-0.974817,0.096719,0.971956,-0.214355,
N,L,445,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.084418,-0.197045,-0.976753,0.094792,0.974218,-0.204726,
N,L,463,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.084888,-0.191272,-0.977859,0.093526,0.975539,-0.198938,
N,L,481,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.085485,-0.181704,-0.979631,0.091938,0.977596,-0.189350,
N,L,499,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.085614,-0.177581,-0.980375,0.091406,0.978438,-0.185213,
N,L,518,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.085130,-0.169489,-0.981848,0.090358,0.980052,-0.177014,
N,L,536,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.084500,-0.162774,-0.983038,0.089104,0.981380,-0.170158,
N,L,554,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.084203,-0.159431,-0.983611,0.088236,0.982047,-0.166731,
N,L,572,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.084019,-0.157290,-0.983972,0.087639,0.982471,-0.164534,
N,L,590,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.083683,-0.153221,-0.984642,0.086436,0.983268,-0.160353,
N,L,609,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.084344,-0.150320,-0.985033,0.086247,0.983744,-0.157508,
N,L,627,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.084983,-0.149204,-0.985148,0.086336,0.983903,-0.156463,
