time_stamp,trial_index,slot,mode,size_index,targetRadius,targetX,targetY,userX,userY,distance_from_center,elaspedTime,is_hit
1818,0,s0,M,2,L,0.000000,4.958585,-0.051839,4.937095,0.055826,1818,1
2909,1,s8,M,2,L,-0.291500,2.185148,-0.305470,2.187243,0.014126,1090,1
4272,2,s1,M,2,L,0.570260,4.837372,0.537753,4.902043,0.071799,1363,1
5454,3,s9,M,2,L,-0.824097,2.422275,-0.907972,2.492134,0.109106,1181,1
6545,4,s2,M,2,L,1.041917,4.494693,1.046794,4.544631,0.049528,1090,1
7545,5,s10,M,2,L,-1.214200,2.855528,-1.294684,2.871242,0.080682,999,1
8818,6,s3,M,2,L,1.333417,3.989800,1.353110,4.019864,0.035321,1272,1
9818,7,s11,M,2,L,-1.394357,3.409994,-1.376931,3.438318,0.032793,1000,1
10909,8,s4,M,2,L,1.394357,3.409994,1.362903,3.350878,0.066830,1090,1
11727,9,s12,M,2,L,-1.333417,3.989800,-1.277796,4.099279,0.122652,818,1
12545,10,s5,M,2,L,1.214200,2.855528,1.168512,2.812146,0.062932,818,1
13372,11,s13,M,2,L,-1.041917,4.494693,-1.232912,4.592098,0.207292,827,0
13918,11,s13,M,2,L,-1.041917,4.494693,-1.066156,4.532180,0.043737,1372,1
15100,12,s6,M,2,L,0.824097,2.422275,0.811829,2.440838,0.021410,1181,1
16190,13,s14,M,2,L,-0.570260,4.837372,-0.584162,4.956033,0.116202,1090,1
17190,14,s7,M,2,L,0.291500,2.185148,0.260548,2.165392,0.036575,999,1
18009,15,s0,M,2,L,0.000000,4.958585,0.051168,5.091038,0.138121,818,0
18827,15,s0,M,2,L,0.000000,4.958585,0.018444,4.880494,0.078761,1636,1
19827,16,s8,M,2,L,-0.291500,2.185148,-0.293981,2.164000,0.020436,1000,1
20645,17,s1,M,2,L,0.570260,4.837372,0.640892,4.983214,0.156640,818,0
21190,17,s1,M,2,L,0.570260,4.837372,0.621656,4.850245,0.052164,1363,1
22281,18,s9,M,2,L,-0.824097,2.422275,-0.857548,2.401082,0.038424,1090,1
23736,19,s2,M,2,L,1.041917,4.494693,1.048104,4.499965,0.007899,1454,1
24372,20,s10,M,2,L,-1.214200,2.855528,-1.172184,2.779730,0.086501,636,1
25463,21,s3,M,2,L,1.333417,3.989800,1.320078,3.959791,0.032582,1090,1
26463,22,s11,M,2,L,-1.394357,3.409994,-1.360497,3.457599,0.057279,1000,1
27554,23,s4,M,2,L,1.394357,3.409994,1.404909,3.383551,0.028089,1090,1
28463,24,s12,M,2,L,-1.333417,3.989800,-1.323076,4.001940,0.015813,909,1
29463,25,s5,M,2,L,1.214200,2.855528,1.235614,2.820914,0.039182,1000,1
30281,26,s13,M,2,L,-1.041917,4.494693,-1.113355,4.540100,0.082351,818,1
31372,27,s6,M,2,L,0.824097,2.422275,0.866334,2.522824,0.108040,1090,1
32463,28,s14,M,2,L,-0.570260,4.837372,-0.570008,4.889815,0.051494,1090,1
33554,29,s7,M,2,L,0.291500,2.185148,0.252606,2.236612,0.062413,1090,1
34372,30,s0,M,2,L,0.000000,4.958585,-0.032809,5.004888,0.055924,818,1
35372,31,s8,M,2,L,-0.291500,2.185148,-0.264855,2.212717,0.037334,999,1
36190,32,s1,M,2,L,0.570260,4.837372,0.645597,4.770310,0.100852,818,1
37190,33,s9,M,2,L,-0.824097,2.422275,-0.770338,2.405933,0.056132,1000,1
38281,34,s2,M,2,L,1.041917,4.494693,1.111769,4.469240,0.073249,1090,1
39100,35,s10,M,2,L,-1.214200,2.855528,-1.251767,2.791070,0.072017,818,1
39918,36,s3,M,2,L,1.333417,3.989800,1.310439,3.994926,0.022839,818,1
40827,37,s11,M,2,L,-1.394357,3.409994,-1.493422,3.477095,0.117827,909,1
41827,38,s4,M,2,L,1.394357,3.409994,1.348644,3.429997,0.048091,1000,1
42645,39,s12,M,2,L,-1.333417,3.989800,-1.321325,4.108876,0.119667,818,1
43827,40,s5,M,2,L,1.214200,2.855528,1.163168,2.802898,0.073292,1181,1
44736,41,s13,M,2,L,-1.041917,4.494693,-1.045288,4.537332,0.042367,909,1
45827,42,s6,M,2,L,0.824097,2.422275,0.845069,2.509883,0.088521,1090,1
46827,43,s14,M,2,L,-0.570260,4.837372,-0.609067,4.807744,0.048813,1000,1
48009,44,s7,M,2,L,0.291500,2.185148,0.266721,2.226162,0.046173,1181,1
49463,45,s0,M,2,L,0.000000,4.958585,0.046660,4.989578,0.055483,1454,1
50736,46,s8,M,2,L,-0.291500,2.185148,-0.117804,2.137874,0.179405,1272,0
